,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,15.98,1.12,0.53,0.53,0.45,0.53,0.91,0.68,0.79,0.7,0.79,0.29,0.99,0.97,0.57,0.88
e_1,0.65,16.1,0.5,0.76,0.42,0.55,0.94,0.93,2.06,0.92,1.03,1.01,0.83,0.9,0.55,0.78
d_1,0.6,0.54,18.08,0.4,0.53,0.51,1.04,0.82,0.41,2.19,1.14,1.18,1.09,0.93,1.21,1.11
c_1,0.44,0.48,0.55,18.35,1.57,0.56,0.67,0.73,0.82,0.33,0.75,0.91,0.8,0.84,0.82,0.93
b_1,0.51,0.44,0.51,0.62,21.09,1.39,0.78,0.74,0.94,0.94,0.42,1.09,1.0,0.63,1.03,0.84
a_1,0.65,0.6,0.64,0.54,0.48,28.0,0.93,1.3,0.71,0.8,0.82,0.75,1.01,0.59,0.88,0.84
h_1,1.26,0.6,0.72,0.8,0.59,0.56,4.56,1.63,1.1,1.09,1.29,1.25,0.73,1.06,1.43,1.82
g_1,0.54,0.72,1.23,0.72,0.68,0.53,1.19,6.1,1.0,1.03,1.41,2.37,0.92,1.38,1.27,0.98
d_0,0.71,0.73,0.41,2.36,0.69,0.64,0.91,1.16,2.98,0.64,1.01,1.05,1.28,1.03,1.24,1.04
c_0,0.77,0.68,0.86,0.53,0.55,0.62,1.36,1.16,1.27,2.43,3.24,1.25,1.63,1.44,1.58,1.54
b_0,0.89,0.64,0.89,0.72,0.53,0.43,1.26,1.38,1.13,1.05,3.61,1.3,1.39,3.17,1.49,1.22
f_0,0.52,0.49,0.91,0.8,0.78,0.9,1.06,1.2,1.24,1.51,1.03,3.79,1.25,1.37,3.18,1.42
h_0,1.17,0.62,0.93,0.73,0.65,0.66,0.72,1.37,0.97,1.12,1.33,1.11,0.74,1.52,1.02,2.12
a_0,0.61,0.72,0.9,0.78,0.93,0.31,1.28,1.57,1.21,1.38,1.37,1.55,1.35,4.34,1.6,1.26
e_0,0.71,0.32,0.89,0.98,0.83,0.77,1.19,1.27,1.13,1.3,1.6,1.31,2.01,1.22,4.09,1.58
g_0,0.57,0.59,1.83,0.76,0.72,0.68,0.98,0.61,0.95,1.28,1.14,1.91,1.23,1.38,1.35,0.69
