,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.45,0.69,0.59,0.82,0.61,0.67,0.93,1.56,0.99,0.88,0.95,0.94,0.85,0.91,0.98,0.44
f_1,1.15,2.49,0.64,0.59,0.55,0.53,0.91,0.92,0.86,0.92,0.83,0.48,0.82,0.91,0.92,0.56
d_1,0.58,0.77,2.6,0.47,0.59,0.62,0.91,0.58,1.67,1.09,1.17,1.07,1.08,1.07,1.09,1.22
c_1,0.59,0.64,0.58,2.89,1.18,0.74,0.89,0.92,0.31,0.67,0.68,0.98,0.87,0.82,0.95,1.07
b_1,0.68,0.66,0.57,0.8,3.39,1.08,0.76,0.83,0.76,0.65,0.35,0.89,1.06,0.79,0.77,0.99
a_1,0.62,0.63,0.82,0.65,0.71,4.99,0.99,0.82,0.82,0.79,1.08,0.85,1.21,0.36,0.9,0.87
h_1,0.81,1.08,0.89,0.77,0.63,0.59,2.68,0.86,1.04,1.46,1.24,1.1,0.69,1.06,1.47,1.37
d_0,0.73,0.83,0.49,1.56,0.79,0.8,1.03,1.86,0.99,1.14,1.23,1.19,1.22,1.1,0.94,1.06
c_0,0.81,0.87,0.97,0.5,0.58,0.61,1.15,1.14,2.04,1.23,2.44,1.31,1.42,1.63,1.17,1.19
g_1,0.73,0.68,1.39,0.79,0.64,0.52,0.99,0.86,1.28,3.2,1.14,1.57,1.23,1.25,0.95,1.28
b_0,0.6,0.99,0.86,0.87,0.41,0.52,1.27,1.24,1.24,1.23,2.4,1.43,1.36,2.63,1.2,1.3
f_0,0.52,0.58,1.0,0.94,0.82,0.8,1.27,1.01,1.19,1.32,1.2,2.66,1.24,1.27,1.33,2.96
h_0,0.76,1.06,0.88,0.79,0.81,0.7,0.71,0.99,1.19,1.45,1.04,1.05,0.82,1.11,1.5,1.06
a_0,0.73,0.88,1.03,0.69,0.74,0.43,1.0,1.31,1.29,1.22,1.55,1.43,1.18,3.17,1.15,1.39
g_0,0.64,0.77,1.31,0.75,0.85,0.73,1.1,0.95,0.92,0.75,1.1,1.83,1.25,0.77,0.65,1.45
e_0,0.46,0.83,1.09,0.83,0.93,0.85,1.42,1.05,0.9,1.23,1.31,1.25,1.22,1.0,1.28,3.13
