,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,99.96,15.1,18.47,14.45,16.04,46.51,3051.84,6772.78,3960.36,5720.33,6608.16,9776.4,19694.44,30410.74,,64137.02
f_1,15.25,115.52,15.33,16.14,22.35,82.28,2352.0,4240.2,3355.94,6552.63,7542.82,,18570.49,26569.54,28475.04,46562.38
c_1,10.58,12.38,120.45,17.6,35.95,62.27,2551.72,3445.38,3857.75,,6743.65,9456.06,20659.37,28839.15,36358.39,49431.2
d_1,10.26,10.39,10.17,130.7,29.09,59.06,3148.11,,3605.36,10954.98,5613.65,7469.53,20471.7,29091.96,33543.37,42973.18
b_1,11.16,10.06,9.3,11.87,190.24,92.84,1967.48,2947.99,2520.12,4968.84,,7803.84,18416.77,26797.7,34746.49,46566.35
a_1,9.05,7.34,7.54,8.56,9.11,436.77,1850.82,2127.45,1961.76,3978.71,5279.76,4842.72,12191.84,,18210.98,35843.2
h_1,4.42,7.6,5.39,6.12,9.75,24.91,4207.3,1530.54,2267.28,2883.39,2204.77,3945.12,,11374.58,,28012.57
d_0,4.08,5.98,9.97,,12.05,29.68,1367.5,4141.82,1416.69,3011.43,3563.62,3803.92,6722.12,14952.98,14073.66,21050.48
g_1,3.8,5.68,4.16,6.66,9.9,22.16,893.61,1319.31,5471.07,2894.33,3316.49,4130.99,5701.51,,11593.5,
c_0,4.49,5.01,,4.88,9.84,19.33,1148.4,1200.26,1142.89,6247.23,5243.95,3796.94,8035.26,,11252.5,19589.49
b_0,4.23,4.21,4.62,6.75,,21.31,992.03,1495.87,1264.26,1778.37,7118.78,3303.81,7637.19,,13790.54,15508.85
f_0,3.34,,4.0,6.44,7.63,19.48,807.33,1565.67,1018.23,1901.94,2666.03,8616.59,6189.75,,,16857.78
h_0,3.4,5.62,4.88,4.4,7.34,19.03,,1638.67,1750.52,2295.92,1916.77,3398.05,,10777.57,11141.75,19519.55
a_0,2.68,2.89,3.3,3.43,4.74,,537.8,1042.39,,,,,4394.14,22798.63,,10991.04
e_0,,2.8,3.44,3.13,4.69,19.17,,1009.58,698.91,1665.32,1436.81,,4476.05,,24972.54,14058.73
g_0,2.06,2.69,3.07,5.43,6.76,15.41,534.63,843.8,,1601.53,1838.74,2853.27,4640.2,7476.52,8783.26,
