,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,6.16,1.8,3.89,2.29,1.97,1.9,7.91,7.07,10.41,9.04,6.14,9.22,15.1,15.21,11.82,7.1
d_1,2.44,6.29,2.19,1.76,2.2,1.93,7.68,8.97,7.17,19.18,11.44,14.49,18.1,16.67,12.37,12.11
e_1,2.38,1.81,6.28,2.56,2.19,2.39,8.05,7.87,17.51,10.14,10.7,11.85,17.16,15.17,11.69,7.73
c_1,2.19,2.18,1.91,6.66,4.25,1.8,8.16,7.02,9.02,5.31,9.71,8.27,16.01,15.51,9.99,10.75
b_1,2.25,2.09,2.09,2.31,7.33,4.54,8.63,7.87,9.47,9.41,10.7,6.64,13.98,16.44,7.3,12.5
a_1,2.36,2.54,2.04,2.54,1.88,11.06,7.58,9.38,10.44,10.67,12.4,12.02,16.62,15.63,6.54,12.22
h_1,3.24,2.37,2.15,2.82,2.26,2.22,17.41,10.43,11.38,10.41,10.69,12.43,11.81,23.1,11.79,14.96
g_1,2.0,3.79,2.17,2.48,2.23,2.46,7.68,20.6,9.1,12.56,16.95,13.06,17.01,12.55,10.23,14.43
d_0,2.36,1.9,2.25,4.51,2.59,2.07,8.96,8.68,18.24,7.9,9.41,11.39,15.29,17.57,14.02,12.1
c_0,2.47,2.71,2.17,1.93,2.09,2.74,9.43,10.65,12.77,20.13,14.33,23.24,18.71,19.34,17.33,16.33
f_0,1.72,3.03,1.97,2.61,2.67,2.73,9.96,10.89,10.87,13.5,21.27,13.33,19.66,17.63,14.24,27.48
b_0,2.79,2.98,2.17,2.86,1.72,2.22,9.17,8.75,11.8,11.02,12.7,21.62,21.64,19.15,26.66,14.89
h_0,3.44,2.69,2.33,2.26,2.47,2.3,6.2,11.37,10.48,10.96,12.05,12.79,12.42,22.46,12.56,11.78
g_0,1.95,3.74,2.31,2.39,2.21,2.28,9.3,8.28,9.96,12.78,17.74,12.97,15.48,13.63,14.46,14.69
a_0,2.54,3.09,2.34,2.53,2.3,1.65,10.61,9.74,12.79,10.92,13.65,11.55,19.87,20.42,28.97,11.89
e_0,2.45,3.1,1.12,3.05,2.69,2.75,10.99,10.32,10.53,11.81,12.71,13.85,19.79,21.94,13.83,29.87
