,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.16,0.35,0.43,0.29,0.33,0.3,0.1,0.11,0.05,0.09,0.08,0.07,0.05,0.08,0.07,0.05
f_1,0.36,0.16,0.34,0.36,0.35,0.29,0.08,0.11,0.08,0.07,0.09,0.06,0.04,0.06,0.06,0.06
d_1,0.38,0.34,0.15,0.4,0.36,0.36,0.09,0.06,0.11,0.07,0.06,0.06,0.05,0.07,0.06,0.03
e_1,0.38,0.23,0.38,0.15,0.37,0.37,0.11,0.12,0.08,0.08,0.09,0.07,0.05,0.12,0.07,0.06
b_1,0.21,0.4,0.4,0.36,0.14,0.35,0.12,0.11,0.08,0.1,0.07,0.11,0.06,0.07,0.07,0.05
a_1,0.35,0.42,0.41,0.4,0.18,0.09,0.1,0.12,0.08,0.09,0.07,0.1,0.05,0.07,0.12,0.07
h_1,0.33,0.33,0.29,0.34,0.32,0.31,0.05,0.08,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05
g_1,0.36,0.34,0.31,0.32,0.34,0.29,0.07,0.05,0.08,0.07,0.06,0.06,0.04,0.06,0.06,0.05
d_0,0.36,0.32,0.43,0.2,0.35,0.3,0.1,0.1,0.05,0.07,0.08,0.06,0.05,0.08,0.07,0.06
c_0,0.57,0.33,0.2,0.36,0.33,0.31,0.09,0.09,0.11,0.04,0.06,0.06,0.05,0.07,0.07,0.04
f_0,0.32,0.52,0.32,0.32,0.31,0.27,0.09,0.06,0.07,0.07,0.04,0.07,0.04,0.06,0.07,0.03
b_0,0.51,0.31,0.24,0.35,0.4,0.31,0.09,0.09,0.08,0.04,0.07,0.04,0.04,0.06,0.06,0.04
h_0,0.31,0.35,0.3,0.31,0.31,0.3,0.11,0.1,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.04
e_0,0.32,0.5,0.28,0.42,0.32,0.24,0.09,0.07,0.07,0.06,0.03,0.06,0.04,0.03,0.06,0.04
a_0,0.36,0.32,0.32,0.31,0.36,0.37,0.08,0.09,0.07,0.05,0.05,0.03,0.04,0.06,0.03,0.05
g_0,0.34,0.37,0.3,0.31,0.32,0.32,0.07,0.1,0.07,0.06,0.06,0.06,0.04,0.06,0.05,0.05
