,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.73,0.9,0.65,1.04,0.77,0.72,1.01,0.96,1.56,0.82,1.0,1.0,1.02,1.0,0.79,1.02
f_1,1.31,1.81,0.76,0.77,0.66,0.66,0.87,0.85,1.09,1.0,1.0,0.73,1.0,1.0,0.64,0.99
d_1,0.74,0.88,1.95,0.69,0.77,0.74,1.03,1.05,0.64,1.65,1.19,0.92,1.11,0.96,1.11,0.98
c_1,0.65,0.8,0.88,1.89,1.39,0.82,0.94,0.87,0.85,0.67,0.66,0.92,0.81,0.94,0.88,0.91
b_1,0.8,0.79,0.86,0.77,2.06,1.49,0.88,0.86,0.86,0.86,0.73,0.99,0.92,0.78,0.96,0.89
a_1,0.8,0.83,0.92,0.88,0.79,2.81,1.08,0.99,0.93,0.89,0.96,1.12,1.04,0.75,1.11,0.98
h_1,0.84,1.1,0.95,0.81,0.86,0.85,1.83,1.36,0.9,1.06,1.12,0.97,0.84,0.97,1.1,1.15
g_1,0.78,0.82,1.22,0.84,0.77,0.76,0.81,1.99,0.76,0.99,1.04,1.62,1.07,1.05,1.48,1.07
d_0,0.88,0.82,0.68,1.49,0.88,0.73,1.07,0.96,1.34,0.63,1.11,1.1,0.98,1.12,1.04,1.06
c_0,0.96,0.86,0.95,0.73,0.67,0.73,1.08,1.11,1.01,1.51,1.83,1.15,1.19,1.34,1.23,1.21
b_0,0.88,0.99,1.02,0.93,0.61,0.53,1.08,1.1,0.97,1.11,1.68,1.23,1.18,1.92,1.22,1.27
f_0,0.79,0.75,1.03,0.94,0.84,0.79,1.08,1.17,0.99,0.96,1.0,1.63,1.23,1.13,2.16,1.19
h_0,0.91,1.13,0.87,0.82,0.78,0.74,0.85,1.27,0.87,0.97,1.07,1.1,0.86,1.15,1.04,1.32
a_0,0.98,0.91,0.93,0.94,0.85,0.65,1.06,1.15,1.02,0.97,1.14,1.01,1.02,1.95,1.13,1.01
e_0,0.71,0.93,0.98,1.0,0.8,0.89,1.26,1.15,0.94,1.08,1.3,1.08,1.05,1.22,2.17,1.11
g_0,0.83,0.79,1.26,0.85,0.81,0.88,1.06,0.9,0.91,1.09,1.14,1.44,1.19,0.99,1.34,0.68
