,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,9016.65,1089.94,1279.26,2428.18,3530.37,17477.71,1228817.63,2956190.66,10168395.54,4726460.07,9778864.63,11127551.84,44928624.28,36611362.8,14265916.81,65435862.57
f_1,1766.48,10025.54,1644.19,2505.38,3031.29,13489.42,1123527.25,2477144.0,4296164.87,4626116.52,2088441.26,11219663.56,41926748.9,24318648.96,38741270.26,103771473.5
d_1,924.17,1010.55,17247.61,1699.33,3407.63,19763.91,1063570.31,3062190.21,1571780.38,11286118.02,9547713.61,12246911.5,51792104.61,29496875.56,48386654.55,92175303.55
c_1,796.1,1167.54,1609.3,28916.27,5843.68,14807.2,1004596.83,2117779.54,4423283.03,982718.71,9285701.13,7802108.13,45699330.01,38278527.83,57117950.23,102823492.39
b_1,943.71,1156.65,1192.36,2427.32,42050.88,33390.96,1293989.75,2840010.28,4858051.98,6465170.87,9731213.66,3279214.86,42620977.8,28158666.09,42534591.69,88610152.21
a_1,769.66,1216.79,1564.41,3093.18,3000.13,351654.61,1240644.68,1976134.93,4383696.86,5956176.4,7873835.21,11259030.62,31197684.59,8028100.25,32521630.27,101423141.89
h_1,1558.9,2162.85,3302.17,4566.54,5200.65,25820.33,7546352.29,6095191.19,7920508.15,9590340.87,15034390.71,17374902.88,25210811.09,46164446.53,94961648.33,198670841.16
g_1,1531.56,1602.23,4748.13,3083.35,4297.66,28636.68,1906570.92,22084783.17,6347780.22,8813330.73,29050147.87,22733643.44,60937830.98,66452909.82,121964703.89,49252659.79
d_0,1419.67,1932.56,1059.07,9228.07,6443.07,29056.55,1991200.05,4197923.89,21716397.91,9722422.81,15166737.26,18832956.96,72433764.29,65671306.53,85619750.23,163719489.48
c_0,1940.0,1865.78,3423.4,1546.45,5566.09,36479.34,2157843.18,5338138.16,6446677.52,27894225.34,16986180.32,40743228.67,72633487.33,73401725.54,79427726.84,183897086.47
f_0,1367.89,758.01,3637.2,6365.44,5404.07,26830.23,2597188.11,4823272.67,10110498.28,11597715.8,50543142.43,29188078.73,70731557.55,73115657.79,210429226.0,216763457.17
b_0,1994.65,1747.47,3440.52,4397.51,2138.9,30553.68,1818687.16,5090736.96,8761579.39,8568589.66,17943622.42,67012384.73,95390998.7,123717193.33,99755939.51,168864094.51
h_0,1588.51,2720.83,2982.52,5107.26,4403.66,29269.2,601105.64,5765780.75,7542808.07,7926765.63,16282596.54,17704949.18,28900918.1,57422196.28,83464217.87,186341151.96
a_0,1791.67,1765.06,4079.87,4480.33,5603.61,13666.43,2209714.15,5557079.7,9122769.47,7126495.26,15246383.97,19969218.49,93716459.38,232661166.32,123276447.7,142709482.35
e_0,840.61,2494.41,2688.2,4620.71,6742.38,34039.86,2483195.43,4183871.85,8979122.15,11648717.19,18690900.14,19040570.8,87323198.56,80431204.4,354645848.18,186614299.35
g_0,1459.83,1456.13,5566.16,5256.75,5204.96,20616.12,2066016.04,1896755.3,6905615.45,7734373.16,16770480.95,19036707.04,68523987.24,64009171.19,95462199.19,46046106.42
