,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.34,0.95,0.67,0.95,0.69,0.5,1.54,1.59,3.09,1.76,1.68,1.83,1.44,2.36,1.83,1.15
f_1,1.35,2.34,0.87,0.82,0.66,0.64,1.62,1.17,1.67,1.44,1.67,0.86,1.39,1.95,2.05,0.87
d_1,0.83,0.96,2.42,0.7,0.73,0.67,1.57,1.55,1.08,3.12,1.96,1.68,1.52,2.22,1.88,1.32
c_1,0.83,0.91,0.81,2.45,1.34,0.52,1.42,1.3,1.7,0.93,1.13,1.53,1.45,2.1,1.75,1.41
b_1,0.8,0.85,0.85,0.8,2.67,1.22,1.31,1.26,1.34,1.49,0.93,1.49,1.29,2.04,1.68,1.38
a_1,0.75,0.92,0.83,1.0,0.68,3.21,1.72,1.63,1.73,1.69,1.82,1.61,0.88,2.49,1.79,1.7
h_1,0.99,1.23,0.87,1.03,0.84,0.49,3.27,2.12,1.74,1.8,1.76,1.68,1.59,1.78,2.57,1.63
g_1,0.83,0.73,1.43,0.91,0.75,0.71,1.75,3.42,1.34,1.95,1.67,2.93,1.47,2.21,1.6,1.82
d_0,0.83,0.96,0.76,1.62,0.76,0.65,1.62,1.57,2.98,1.16,1.64,2.02,1.39,2.22,2.13,1.69
c_0,0.88,1.07,1.12,0.74,0.6,0.67,1.61,1.83,1.81,3.12,3.52,2.22,2.07,2.63,2.05,1.52
b_0,0.9,1.06,1.05,1.03,0.54,0.7,1.64,1.68,1.76,1.81,3.29,2.03,3.27,2.64,2.44,1.63
f_0,0.7,0.76,1.11,1.04,0.81,0.74,2.09,1.95,2.02,2.01,1.9,3.34,1.94,2.7,2.06,3.41
a_0,0.87,0.99,1.27,0.94,0.79,0.41,1.86,1.58,1.71,1.67,2.05,1.92,3.28,2.26,2.59,1.62
h_0,0.85,1.31,1.05,0.92,0.78,0.66,1.28,1.78,1.63,1.62,1.74,1.51,1.78,1.62,2.64,1.4
g_0,0.87,0.9,1.37,0.84,0.84,0.59,1.66,1.47,1.83,2.0,1.84,2.83,1.87,2.48,1.71,1.68
e_0,0.62,1.08,0.97,1.1,0.96,0.83,1.9,1.62,1.92,1.83,1.63,1.91,1.64,2.12,2.38,3.49
