,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.76,0.85,1.27,0.99,0.7,0.5,0.48,0.59,0.42,0.49,0.41,0.36,0.35,0.35,0.36
f_1,1.34,1.0,0.91,0.92,0.93,0.62,0.43,0.49,0.43,0.4,0.38,0.39,0.31,0.27,0.31,0.3
d_1,1.15,1.13,1.0,0.88,0.86,0.74,0.5,0.38,0.5,0.52,0.4,0.44,0.35,0.35,0.3,0.34
c_1,0.79,1.09,1.15,1.0,1.2,0.84,0.49,0.44,0.31,0.32,0.39,0.34,0.36,0.33,0.31,0.31
b_1,1.02,1.08,1.14,0.83,1.0,1.13,0.54,0.52,0.46,0.51,0.41,0.39,0.44,0.38,0.37,0.33
a_1,1.4,1.53,1.36,1.21,0.9,1.0,0.72,0.65,0.57,0.62,0.57,0.57,0.49,0.43,0.47,0.44
h_1,1.93,2.34,1.93,2.1,1.82,1.36,1.0,1.05,0.82,0.84,0.79,0.83,0.72,0.57,0.74,0.61
g_1,1.95,2.1,2.64,2.34,1.92,1.56,0.91,1.0,0.81,0.89,1.18,0.91,0.69,0.73,0.76,0.65
d_0,1.71,2.34,2.09,3.14,2.22,1.7,1.19,1.14,1.0,0.77,1.0,0.85,0.77,0.81,0.81,0.73
c_0,2.43,2.44,1.92,2.83,2.0,1.59,1.19,1.15,1.25,1.0,1.12,1.31,0.95,0.83,0.75,0.86
f_0,1.98,2.41,2.58,2.54,2.5,1.83,1.2,0.84,0.99,0.94,1.0,0.96,0.81,1.21,0.65,0.81
b_0,2.38,2.52,2.17,2.96,2.59,1.68,1.23,1.13,1.14,0.74,1.15,1.0,1.0,0.83,0.85,1.08
h_0,2.8,3.3,2.98,2.85,2.3,1.95,1.37,1.47,1.17,1.03,1.25,0.99,1.0,0.94,1.09,0.84
e_0,2.64,3.75,2.92,3.0,2.67,2.28,1.68,1.31,1.35,1.19,0.81,1.11,1.13,1.0,0.91,0.82
g_0,2.83,3.18,3.35,3.16,2.77,2.07,1.34,1.31,1.2,1.25,1.5,1.22,0.92,1.16,1.0,0.94
a_0,2.82,3.24,3.11,3.18,3.09,2.39,1.6,1.55,1.23,1.18,1.19,0.94,1.18,1.13,1.01,1.0
