,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.08,0.91,0.81,0.84,0.77,0.45,0.35,0.46,0.56,0.43,0.38,0.37,0.37,0.26,0.31
f_1,0.93,1.0,1.31,0.97,0.82,0.62,0.41,0.48,0.42,0.39,0.35,0.32,0.27,0.29,0.37,0.21
e_1,1.1,0.76,1.0,1.02,0.92,0.76,0.55,0.45,0.6,0.47,0.46,0.41,0.35,0.34,0.3,0.29
c_1,1.23,1.03,0.98,1.0,1.28,0.73,0.56,0.48,0.35,0.33,0.36,0.46,0.43,0.32,0.31,0.35
b_1,1.19,1.23,1.09,0.79,1.0,1.18,0.53,0.51,0.48,0.47,0.51,0.47,0.4,0.45,0.41,0.37
a_1,1.31,1.59,1.32,1.37,0.85,1.0,0.8,0.82,0.64,0.58,0.68,0.53,0.52,0.55,0.52,0.49
h_1,2.19,2.4,1.8,1.87,1.79,1.29,1.0,1.16,0.85,0.75,0.79,0.71,0.79,0.7,0.75,0.66
g_1,2.71,2.16,2.21,2.09,1.99,1.31,0.87,1.0,0.91,0.96,0.89,0.99,0.68,0.7,0.51,0.7
d_0,2.2,2.33,1.66,3.01,2.07,1.58,1.14,1.08,1.0,0.87,1.03,0.74,0.89,0.64,0.74,0.85
c_0,1.73,2.69,2.11,2.66,2.09,1.74,1.36,1.07,1.2,1.0,1.37,0.9,0.89,0.84,0.68,0.83
b_0,2.34,2.79,2.31,2.8,1.9,1.51,1.25,1.09,0.96,0.73,1.0,0.81,0.88,1.02,0.8,0.65
f_0,2.57,3.06,2.48,2.18,2.13,1.9,1.35,0.99,1.2,1.16,1.2,1.0,0.98,0.98,0.69,1.42
h_0,2.79,3.62,3.0,2.31,2.4,1.72,1.3,1.45,1.14,1.18,1.13,1.01,1.0,0.89,1.04,0.72
a_0,2.78,3.36,3.07,2.84,2.45,1.75,1.44,1.49,1.53,1.25,1.01,0.95,1.1,1.0,0.94,0.93
g_0,3.91,2.78,3.17,3.37,2.54,1.97,1.25,1.84,1.24,1.46,1.28,1.47,0.98,1.09,1.0,1.08
e_0,3.33,4.43,3.27,2.88,2.84,2.14,1.48,1.44,1.14,1.16,1.6,0.74,1.38,1.05,0.9,1.0
