,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.75,0.88,1.03,0.96,0.91,0.76,0.73,0.99,0.56,0.73,0.59,0.59,0.59,0.51,0.49
f_1,1.33,1.0,1.0,0.91,0.85,0.67,0.65,0.67,0.6,0.59,0.55,0.65,0.49,0.52,0.46,0.66
d_1,1.14,1.0,1.0,0.81,1.13,0.91,0.66,0.58,0.78,0.9,0.61,0.65,0.67,0.49,0.63,0.42
c_1,0.97,1.1,1.23,1.0,1.31,0.71,0.66,0.76,0.46,0.59,0.6,0.55,0.6,0.67,0.71,0.57
b_1,1.04,1.18,0.89,0.76,1.0,1.28,0.84,0.87,0.65,0.76,0.81,0.72,0.71,0.62,0.56,0.65
a_1,1.09,1.49,1.1,1.41,0.78,1.0,0.94,0.71,0.79,0.75,0.85,0.73,0.61,0.62,0.5,0.86
h_1,1.29,1.59,1.57,1.47,1.18,1.02,1.0,1.1,0.89,0.91,0.79,0.87,0.98,0.69,0.76,0.88
g_1,1.34,1.51,1.72,1.37,1.17,1.39,0.92,1.0,0.9,0.86,1.3,0.95,0.74,0.88,1.07,0.79
d_0,0.96,1.73,1.38,2.17,1.53,1.3,1.11,1.1,1.0,1.05,0.89,0.89,0.93,0.95,0.85,0.99
c_0,1.75,1.77,1.12,1.72,1.35,1.28,1.15,1.12,0.89,1.0,0.93,1.51,1.01,1.16,0.82,1.06
f_0,1.32,1.74,1.61,1.79,1.33,1.2,1.28,0.77,1.08,1.09,1.0,1.13,0.9,1.02,1.24,1.0
b_0,1.71,1.57,1.57,1.74,1.39,1.25,1.1,1.01,1.12,0.68,0.89,1.0,1.09,1.34,1.04,0.91
h_0,1.54,2.15,1.52,1.67,1.41,1.44,1.11,1.37,1.01,0.97,1.08,0.87,1.0,0.87,0.92,1.07
a_0,1.64,2.02,2.11,1.48,1.63,1.56,1.43,1.13,1.12,0.87,0.97,0.77,1.15,1.0,1.03,0.86
e_0,1.84,2.17,1.6,1.55,1.81,1.78,1.3,0.94,1.24,1.32,0.78,1.01,1.18,1.01,1.0,0.98
g_0,1.87,1.52,2.36,1.77,1.54,1.11,1.13,1.28,1.05,0.98,1.02,1.09,0.94,1.15,0.98,1.0
