,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,116.2,106.58,80.19,96.35,117.13,284.94,9036.57,16962.02,20102.83,17886.25,24947.12,26547.27,76566.8,107372.33,80491.25,191815.54
e_1,63.77,117.84,91.32,119.73,125.3,291.49,9784.34,16042.49,28985.66,17773.7,23910.27,40453.78,83935.88,127679.69,101233.85,222060.01
d_1,73.33,59.71,152.32,75.17,103.83,234.65,9056.94,22877.52,11682.88,13335.59,23244.86,35498.51,84745.46,115819.44,120962.29,192622.5
c_1,58.59,52.9,84.67,159.3,179.12,251.36,7736.87,11491.63,13412.09,13828.18,15321.06,34352.24,69081.44,101763.13,103934.76,152784.54
b_1,57.35,53.9,81.96,73.58,187.58,453.18,7259.21,13379.23,13548.83,14509.5,15961.25,28996.53,57224.64,115472.05,97734.17,204671.57
a_1,49.23,39.88,65.19,67.54,60.55,404.07,6536.3,10619.21,11641.28,10934.51,15448.7,22606.27,45493.54,81780.43,81583.01,139392.45
h_1,21.85,18.11,23.91,25.67,28.22,69.6,3400.77,4261.5,4539.89,4867.89,6413.93,9133.61,22338.77,28625.91,28949.92,65927.15
c_0,16.06,15.56,20.68,19.25,22.35,67.99,2168.09,4744.09,4122.63,4023.76,7910.54,8019.9,23429.08,28778.19,25700.39,51618.57
d_0,13.95,12.71,17.61,34.62,29.98,58.36,1915.27,2730.93,4961.58,3802.13,4355.97,7865.14,17514.36,24692.98,23262.07,46068.53
g_1,13.09,12.52,27.99,22.38,24.97,62.18,1964.92,3570.33,3307.68,5465.88,4682.9,10952.85,16742.42,24205.84,25772.64,43109.33
b_0,13.41,14.25,19.52,23.02,18.92,53.99,1903.22,3012.69,3857.54,3707.44,5861.76,7724.1,26008.56,25130.87,21899.33,43862.85
f_0,11.55,9.41,16.55,18.81,21.86,52.97,1685.24,2808.08,3078.11,2598.18,3511.99,8608.13,13399.09,20634.24,37113.19,36226.01
a_0,10.48,9.11,13.78,12.86,14.51,35.54,1296.32,2112.98,2451.0,2221.48,2948.92,4595.1,15115.37,18649.41,16008.53,31515.88
h_0,10.45,8.16,12.16,12.56,13.44,38.8,859.33,2056.22,2336.51,2512.92,2915.54,4009.12,9049.04,12588.95,14613.81,31105.49
e_0,10.03,6.14,9.94,12.66,14.25,37.93,1188.1,2083.38,2193.93,2158.05,3057.96,3594.52,9908.75,16518.31,20486.97,27319.46
g_0,6.69,6.46,13.15,10.87,10.9,30.81,924.71,1747.46,1643.97,1482.49,2185.53,4533.16,8133.43,11299.68,13206.93,18537.82
