,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.26,1.02,1.41,1.35,2.7,13.18,23.47,29.49,27.02,35.67,40.07,44.59,70.57,87.08,116.2
e_1,0.8,1.0,0.94,1.53,1.39,2.67,16.48,27.78,25.07,37.57,35.04,57.15,62.93,64.96,111.51,96.59
d_1,0.98,1.06,1.0,1.16,1.15,2.42,16.06,32.7,18.36,31.28,40.92,44.36,58.06,68.36,91.16,76.48
c_1,0.71,0.65,0.86,1.0,1.87,1.68,11.58,18.28,19.64,13.42,23.88,30.99,43.18,50.0,53.36,77.81
b_1,0.74,0.72,0.87,0.54,1.0,3.02,13.57,19.04,20.04,21.82,23.97,30.05,50.58,51.56,60.11,67.49
a_1,0.37,0.37,0.41,0.59,0.33,1.0,5.95,9.51,9.86,11.6,13.76,22.32,25.62,34.04,29.83,35.46
h_1,0.08,0.06,0.07,0.09,0.07,0.16,1.0,1.52,2.26,1.47,2.26,2.51,3.41,5.18,5.31,5.77
c_0,0.04,0.04,0.03,0.06,0.05,0.11,0.65,1.0,1.24,1.29,1.88,1.79,2.5,3.11,3.27,3.26
g_1,0.03,0.04,0.05,0.05,0.05,0.1,0.44,0.85,1.0,0.85,1.24,1.99,1.7,2.26,2.64,2.24
d_0,0.04,0.03,0.03,0.08,0.05,0.08,0.71,0.79,1.16,1.0,1.45,1.58,1.91,2.69,2.78,2.54
b_0,0.03,0.03,0.02,0.04,0.04,0.07,0.45,0.53,0.82,0.68,1.0,1.28,1.88,3.07,2.86,2.0
f_0,0.02,0.02,0.02,0.03,0.03,0.05,0.4,0.54,0.49,0.56,0.77,1.0,1.46,1.89,2.94,1.57
h_0,0.02,0.02,0.02,0.02,0.02,0.04,0.31,0.4,0.57,0.52,0.52,0.71,1.0,1.03,1.79,1.81
a_0,0.01,0.02,0.01,0.02,0.02,,0.19,0.32,0.45,0.4,0.34,0.56,1.0,1.0,1.24,1.39
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.2,0.29,0.39,0.35,0.36,0.36,0.56,0.84,1.0,1.09
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.29,0.41,0.4,0.48,0.64,0.55,0.77,0.94,1.0
