,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.17,13.95,13.73,12.88,13.05,11.61,3.31,1.86,2.71,,2.69,2.3,3.24,1.54,2.88,1.7
f_1,13.25,0.17,11.75,17.0,15.35,10.7,2.63,3.72,2.18,2.45,2.69,,2.46,1.33,2.05,2.59
e_1,14.97,6.41,0.16,13.86,11.13,16.21,6.32,3.47,2.83,2.48,5.55,2.48,2.29,1.59,,1.69
c_1,15.89,12.86,11.67,0.15,10.74,12.51,4.0,4.08,,1.25,3.26,3.23,2.63,2.12,2.72,1.32
b_1,15.95,11.31,13.82,6.78,0.14,14.13,4.36,2.92,2.91,3.29,,2.4,2.27,1.72,3.59,2.01
a_1,11.61,9.94,21.62,20.85,8.37,0.09,3.23,3.92,3.76,2.58,3.37,2.71,,1.47,,2.04
h_1,3.31,3.39,2.86,2.97,4.76,3.77,0.07,1.49,0.6,0.73,0.52,0.72,0.58,,0.54,0.47
g_1,4.18,3.86,4.42,5.21,2.57,3.43,0.69,0.06,0.64,0.77,1.03,0.77,0.71,0.26,0.63,
c_0,1.27,3.23,2.6,,2.91,2.03,0.6,0.94,0.08,0.71,0.49,0.49,0.83,0.51,0.45,0.33
d_0,,3.22,1.3,2.71,2.44,3.27,0.78,1.15,0.46,0.08,0.35,0.54,0.52,0.39,0.51,0.44
b_0,2.61,2.98,2.77,2.68,,3.65,0.61,0.61,0.33,0.56,0.07,0.46,0.65,0.4,0.57,0.34
f_0,2.67,,2.85,2.25,2.4,2.89,0.74,0.44,0.46,0.56,0.45,0.07,0.64,0.5,0.53,0.25
a_0,2.93,3.62,2.49,2.3,3.33,,0.53,0.71,0.68,0.68,0.36,0.56,0.05,0.34,0.56,0.32
h_0,1.81,1.23,2.6,1.58,1.78,1.4,,0.64,0.41,0.31,0.28,0.37,0.27,,0.33,0.19
e_0,2.13,3.83,,1.99,2.92,,0.56,0.6,0.52,0.48,0.7,0.32,0.48,0.55,0.05,0.35
g_0,1.51,2.36,2.41,1.69,1.84,2.04,0.4,,0.38,0.31,0.33,0.28,0.42,0.15,0.37,
