,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.49,1.18,0.59,0.72,0.58,0.49,0.85,0.79,0.74,0.8,0.89,0.42,0.86,0.85,0.7,0.76
e_1,0.7,2.52,0.61,0.7,0.64,0.56,1.06,0.83,1.62,0.95,1.02,1.05,1.1,0.95,0.55,1.0
d_1,0.62,0.59,2.79,0.53,0.62,0.66,0.86,1.02,0.45,1.76,1.11,1.05,1.08,1.04,1.17,1.11
c_1,0.73,0.66,0.58,2.85,1.23,0.49,0.69,0.77,0.8,0.32,0.54,0.88,0.91,0.86,0.83,0.8
b_1,0.63,0.53,0.64,0.64,3.32,1.46,1.11,0.78,0.98,0.82,0.43,0.96,0.72,0.68,0.84,0.91
a_1,0.77,0.6,0.65,0.74,0.49,4.68,1.0,0.86,0.94,0.86,0.94,0.91,0.85,0.51,1.06,0.82
h_1,1.2,0.69,0.88,0.64,0.69,0.7,2.53,1.61,1.17,1.02,1.21,1.09,0.8,0.98,1.15,1.52
g_1,0.71,0.64,1.3,0.8,0.68,0.69,0.95,3.06,0.87,1.13,1.24,1.65,1.23,1.1,1.16,0.83
d_0,0.81,0.69,0.41,1.66,0.85,0.67,1.0,1.1,2.04,0.8,1.17,1.08,1.17,1.13,1.39,1.29
c_0,0.78,0.68,1.02,0.52,0.6,0.63,1.19,1.5,1.17,2.3,2.72,1.26,1.63,1.59,1.26,1.46
b_0,0.87,0.8,0.98,0.79,0.35,0.51,1.18,1.27,1.12,1.14,2.53,1.25,1.39,2.61,1.38,1.25
f_0,0.56,0.57,1.03,0.91,0.71,0.8,1.2,1.04,1.42,1.21,1.3,2.7,1.34,1.37,2.5,1.48
h_0,1.1,0.8,1.02,0.81,0.64,0.65,0.64,1.39,1.15,1.01,1.23,1.0,0.75,1.27,1.06,1.5
a_0,0.88,0.79,1.01,0.9,0.76,0.42,1.12,1.25,1.16,1.08,1.22,1.4,1.47,2.87,1.49,1.49
e_0,0.96,0.53,0.85,0.9,0.73,0.7,1.03,1.2,1.21,1.41,1.36,1.19,1.54,1.46,3.46,1.44
g_0,0.63,0.68,1.4,0.87,0.69,0.78,0.89,0.84,1.05,1.08,1.15,2.09,1.05,1.24,1.45,0.74
