,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.82,1.27,1.53,1.67,3.49,20.24,30.46,38.84,30.61,51.63,57.24,76.63,115.67,111.26,163.54
f_1,1.21,1.0,1.06,1.3,1.36,3.07,14.64,27.24,27.32,35.44,48.21,45.36,52.19,103.41,97.62,104.63
d_1,0.79,0.94,1.0,0.89,1.31,2.93,13.96,19.54,26.7,35.92,42.93,40.24,65.69,69.66,90.77,98.64
c_1,0.65,0.78,1.13,1.0,1.59,2.45,12.97,20.09,15.06,23.14,27.96,34.41,56.68,86.75,83.25,81.41
b_1,0.59,0.74,0.76,0.64,1.0,2.9,10.26,18.45,17.71,28.17,31.44,32.7,51.64,72.99,69.82,83.86
a_1,0.29,0.33,0.34,0.4,0.34,1.0,5.78,9.73,8.4,8.07,15.11,13.71,21.81,32.97,31.45,33.97
h_1,0.05,0.07,0.07,0.08,0.09,0.17,1.0,1.84,1.51,1.82,2.76,3.34,4.14,7.55,6.4,6.76
g_1,0.03,0.04,0.05,0.05,0.05,0.11,0.55,1.0,0.85,1.25,1.75,2.29,2.25,4.21,4.58,4.58
d_0,0.03,0.04,0.04,0.07,0.06,0.12,0.66,1.13,1.0,1.01,1.8,2.02,2.74,4.14,3.86,4.71
c_0,0.03,0.03,0.03,0.04,0.04,0.11,0.57,0.8,0.97,1.0,2.4,1.45,2.17,3.85,3.36,3.28
b_0,0.02,0.02,0.02,0.03,0.03,0.07,0.36,0.58,0.55,0.47,1.0,0.98,1.58,2.51,3.17,2.41
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.3,0.45,0.54,0.68,1.07,1.0,1.75,2.11,2.53,3.43
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.25,0.46,0.36,0.48,0.63,0.59,1.0,1.77,1.43,1.57
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.24,0.24,0.26,0.4,0.49,0.59,0.99,0.91,0.91
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.22,0.26,0.3,0.32,0.4,0.72,1.11,1.0,1.01
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.22,0.23,0.28,0.42,0.3,0.6,1.04,1.02,1.0
