,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.07,2.08,3.08,3.55,3.12,3.19,1.3,1.24,1.26,0.85,1.12,0.86,0.71,0.83,1.31,0.67
f_1,3.74,1.07,3.31,2.9,2.78,2.29,1.1,1.21,0.91,0.93,1.61,1.01,0.56,0.86,0.69,0.83
d_1,4.24,3.5,1.07,3.1,4.21,3.13,1.19,0.91,2.35,1.18,0.91,1.0,0.83,0.75,1.01,0.46
c_1,3.74,3.92,4.96,1.07,4.18,2.59,1.29,1.71,0.66,2.2,0.94,1.02,0.78,1.07,1.17,0.74
b_1,3.91,4.5,3.62,2.53,1.07,4.31,1.66,1.86,1.09,1.3,1.47,2.4,1.08,1.15,0.97,0.98
a_1,5.51,7.31,5.1,6.59,3.24,1.07,2.38,1.96,1.81,1.55,2.08,1.55,1.17,2.57,1.12,1.63
h_1,6.45,7.83,7.89,7.58,6.01,5.28,1.37,2.8,2.07,2.11,1.76,2.13,3.46,1.64,1.57,1.58
g_1,7.53,9.2,8.17,8.96,7.04,8.7,2.6,1.37,2.55,2.19,2.89,2.28,1.59,2.11,2.5,2.93
d_0,4.85,10.52,12.8,10.61,8.81,8.03,3.47,3.77,1.67,2.93,2.33,2.35,2.11,2.48,2.17,2.32
c_0,10.37,11.19,5.28,18.54,7.97,7.08,3.6,3.46,2.63,1.62,2.4,3.59,2.43,3.2,2.19,2.46
f_0,8.41,17.93,9.16,10.12,8.27,7.87,4.02,2.16,2.91,2.97,1.61,2.85,2.15,2.77,2.59,2.17
b_0,10.52,10.35,9.24,11.95,14.42,8.0,3.9,3.22,3.37,1.75,2.33,1.6,2.52,3.25,2.97,2.19
h_0,11.0,14.51,10.32,11.35,11.18,10.99,7.53,5.22,3.4,3.39,3.53,2.74,4.41,2.73,2.95,2.89
a_0,11.54,16.6,14.65,10.26,12.44,18.51,5.79,4.04,3.65,3.07,3.16,2.19,3.06,1.69,2.92,2.41
e_0,20.64,16.09,12.36,11.21,13.69,14.76,4.88,3.67,4.46,4.63,2.11,3.49,3.4,3.01,1.69,2.66
g_0,16.5,12.7,15.83,13.2,12.62,9.61,4.5,8.85,4.05,3.75,3.46,3.99,2.79,4.2,3.23,5.66
