,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,2.48,1.24,2.24,1.52,1.35,1.3,2.68,2.71,3.28,2.89,2.4,2.88,3.58,4.07,3.47,2.41
d_1,1.67,2.51,1.54,1.26,1.48,1.27,2.76,2.77,2.62,4.95,3.32,3.94,4.28,3.74,3.48,3.35
e_1,1.37,1.28,2.51,1.72,1.49,1.61,2.95,2.91,4.93,3.24,3.48,3.68,4.36,3.94,3.58,3.11
c_1,1.47,1.58,1.28,2.58,2.4,1.22,2.77,2.56,2.52,2.09,3.07,2.57,4.13,3.97,3.09,3.19
b_1,1.55,1.44,1.43,1.31,2.71,2.68,3.1,2.88,3.0,3.13,3.24,2.59,3.67,4.25,2.47,3.59
a_1,1.62,1.73,1.37,1.74,1.11,3.33,2.8,3.19,3.39,3.21,3.62,3.69,4.25,4.04,2.53,3.61
h_1,1.93,1.54,1.4,1.74,1.43,1.44,4.17,3.46,3.3,3.07,3.12,3.5,3.47,5.08,3.21,3.88
g_1,1.39,2.13,1.43,1.63,1.46,1.5,2.55,4.54,2.87,3.52,4.34,3.81,3.86,3.33,3.03,3.84
d_0,1.51,1.42,1.29,2.49,1.67,1.38,3.03,3.13,4.27,2.5,2.98,3.26,3.89,4.28,3.83,3.53
c_0,1.66,1.47,1.44,1.51,1.41,1.66,3.22,3.34,4.04,4.48,3.85,5.65,4.44,4.47,4.48,4.29
f_0,1.32,1.77,1.33,1.67,1.62,1.62,3.24,3.17,3.46,3.62,4.61,3.68,4.51,3.75,3.77,6.23
b_0,1.78,1.71,1.38,1.84,1.31,1.39,3.05,2.88,3.45,2.79,3.53,4.65,4.93,4.36,6.23,3.86
h_0,2.03,1.62,1.47,1.47,1.59,1.45,2.53,3.57,3.2,3.16,3.39,3.43,3.52,5.15,3.44,3.25
g_0,1.32,2.11,1.49,1.56,1.4,1.45,2.89,3.02,2.99,3.58,4.64,3.58,3.59,3.69,3.83,3.81
a_0,1.55,1.83,1.49,1.65,1.6,1.3,3.42,3.28,3.49,3.06,3.75,2.83,4.66,4.58,5.37,3.3
e_0,1.73,1.79,0.92,1.81,1.63,1.61,3.37,3.18,3.2,3.2,3.09,3.79,4.7,4.76,3.96,5.47
