,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.54,0.82,0.75,1.16,0.92,0.68,1.03,0.96,1.63,1.08,1.14,1.08,1.12,0.78,1.09,0.98
f_1,1.42,1.55,0.84,0.82,0.87,0.58,0.94,0.94,1.01,1.01,0.76,1.01,1.03,0.64,0.9,0.83
d_1,0.99,1.04,1.56,0.73,0.79,0.71,1.12,0.89,0.95,1.56,1.05,1.19,1.08,0.96,1.11,0.99
c_1,0.71,0.95,0.96,1.56,1.27,0.83,1.0,0.95,0.88,0.63,0.97,0.79,1.11,0.85,0.94,0.84
b_1,0.87,0.94,0.97,0.83,1.6,1.25,1.01,1.03,1.09,1.06,0.9,0.71,1.29,0.92,1.06,0.76
a_1,1.02,1.09,1.01,0.94,0.81,1.75,1.23,1.09,1.11,1.22,1.2,1.15,1.24,0.98,1.26,0.8
h_1,1.05,1.4,1.16,1.17,0.99,0.84,1.81,1.43,1.16,1.29,1.21,1.29,1.22,0.92,1.57,1.05
g_1,0.98,1.05,1.57,1.29,1.01,0.89,1.16,1.87,1.12,1.36,1.82,1.39,1.37,1.2,1.36,1.07
d_0,0.97,1.16,0.83,1.91,1.17,0.93,1.34,1.32,1.73,0.99,1.38,1.12,1.35,1.14,1.34,1.07
c_0,1.22,1.26,1.15,1.21,0.9,0.88,1.42,1.43,1.58,1.76,1.6,2.15,1.63,1.22,1.37,1.38
f_0,0.91,1.04,1.4,1.3,1.21,1.04,1.39,1.08,1.35,1.34,1.81,1.36,1.37,2.18,1.35,1.27
b_0,1.17,1.27,1.15,1.36,1.01,0.87,1.41,1.33,1.43,1.13,1.57,1.8,1.71,1.22,1.5,1.98
h_0,1.25,1.59,1.35,1.25,1.03,0.93,1.23,1.67,1.39,1.2,1.49,1.23,1.33,1.18,1.79,1.19
e_0,0.95,1.43,1.37,1.35,1.17,1.14,1.64,1.47,1.53,1.42,1.11,1.36,1.67,1.94,1.47,1.12
g_0,1.12,1.24,1.66,1.27,1.11,0.97,1.42,1.23,1.27,1.47,1.98,1.46,1.36,1.5,1.42,1.17
a_0,1.17,1.37,1.43,1.35,1.17,0.89,1.56,1.58,1.3,1.37,1.37,1.31,1.8,1.38,1.43,1.87
