,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,9.84,0.7,0.61,1.03,0.78,0.58,0.92,0.93,0.75,2.3,1.07,0.97,1.02,0.73,1.21,1.02
f_1,1.71,10.36,0.62,0.67,0.57,0.6,0.84,0.85,0.9,0.98,0.59,0.97,0.87,0.65,0.77,0.97
d_1,0.65,0.77,13.6,0.58,0.57,0.67,0.94,0.93,2.84,0.59,1.05,1.45,1.12,1.08,1.03,1.03
c_1,0.56,0.69,0.61,12.33,1.82,0.79,0.93,0.84,0.43,0.82,0.96,0.61,0.95,0.86,0.91,0.9
b_1,0.56,0.65,0.73,0.62,12.94,1.94,1.02,0.89,0.88,0.77,0.98,0.53,0.9,1.21,0.92,0.67
a_1,0.67,0.78,0.86,0.62,0.63,17.29,1.03,1.15,1.02,0.83,0.89,0.93,1.17,0.94,1.04,0.55
h_1,0.83,1.33,0.88,0.77,0.59,0.72,3.23,1.58,0.94,0.92,0.94,0.98,0.79,1.22,1.34,1.03
g_1,0.75,0.66,1.67,0.69,0.48,0.82,1.04,3.83,1.08,0.91,1.96,1.12,0.81,1.22,0.87,1.05
c_0,0.77,0.8,1.08,0.63,0.54,0.75,1.02,1.19,2.24,1.14,1.24,3.4,1.11,1.26,1.01,1.75
d_0,0.72,0.84,0.48,2.62,1.04,0.65,0.94,0.87,0.49,1.77,1.06,0.79,1.06,0.91,0.98,1.14
f_0,0.59,0.64,0.86,1.08,0.92,0.71,1.14,0.91,1.03,1.09,2.6,1.4,1.23,3.08,1.28,1.07
b_0,0.71,0.85,1.07,0.93,0.65,0.56,1.09,1.22,1.13,1.05,1.31,3.18,1.33,1.38,0.96,3.88
h_0,0.73,1.06,0.99,0.86,0.69,0.72,0.71,1.35,0.95,1.02,1.05,1.02,0.85,1.01,1.65,1.08
e_0,0.41,1.21,0.92,0.81,0.78,0.95,1.34,1.2,1.23,0.7,1.08,1.21,1.09,3.26,1.07,1.0
g_0,0.58,0.63,1.56,0.79,0.78,0.76,1.29,0.68,1.14,0.76,2.1,1.07,1.01,1.57,0.86,1.19
a_0,0.7,0.85,1.07,0.94,0.88,0.51,1.08,1.03,0.82,1.06,1.1,1.1,1.24,1.19,1.06,3.21
