,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.33,0.8,0.93,0.92,0.65,0.47,0.41,0.41,0.52,0.47,0.4,0.31,0.28,0.28,0.32
e_1,0.75,1.0,0.98,0.95,0.88,0.9,0.49,0.44,0.6,0.5,0.44,0.47,0.38,0.36,0.35,0.35
d_1,1.26,1.02,1.0,0.88,0.87,0.75,0.58,0.61,0.44,0.35,0.45,0.44,0.39,0.37,0.38,0.29
c_1,1.08,1.05,1.14,1.0,1.41,0.7,0.47,0.42,0.34,0.44,0.37,0.43,0.38,0.34,0.35,0.25
b_1,1.09,1.14,1.15,0.71,1.0,1.25,0.61,0.49,0.52,0.56,0.52,0.38,0.31,0.42,0.31,0.39
a_1,1.55,1.11,1.34,1.42,0.8,1.0,0.73,0.61,0.62,0.54,0.56,0.47,0.39,0.46,0.5,0.43
h_1,2.25,1.97,1.74,2.08,1.66,1.41,1.0,0.95,0.89,1.22,0.89,0.82,0.72,0.8,0.64,0.66
c_0,2.47,2.33,1.59,2.43,1.99,1.63,1.08,1.0,1.04,1.04,1.35,0.79,0.92,0.74,0.71,0.7
d_0,2.46,1.58,2.49,3.16,1.93,1.64,1.06,0.92,1.0,1.06,1.0,1.0,0.66,0.71,0.86,0.73
g_1,1.89,1.91,2.94,2.34,1.88,1.76,0.83,0.93,0.95,1.0,0.92,1.08,0.81,0.75,0.69,0.7
b_0,2.07,2.23,2.14,2.72,2.21,1.78,1.07,0.76,1.04,1.16,1.0,1.0,1.23,0.8,0.71,0.72
f_0,2.39,2.22,2.32,2.35,2.74,2.07,1.24,1.23,1.03,0.88,0.99,1.0,0.85,0.9,1.19,0.66
a_0,3.4,2.57,2.7,2.53,3.04,2.64,1.39,1.12,1.58,1.13,0.83,1.1,1.0,1.11,1.01,1.02
h_0,3.7,2.68,2.63,3.21,2.35,2.11,1.22,1.29,1.43,1.32,1.28,1.11,0.9,1.0,0.89,1.11
e_0,3.79,3.02,2.52,2.69,2.88,2.11,1.64,1.44,1.2,1.43,1.42,0.81,1.1,1.1,1.0,0.99
g_0,3.2,3.07,3.28,4.12,2.44,2.41,1.53,1.31,1.33,1.44,1.35,1.42,0.99,0.89,0.98,1.0
