,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.43,0.89,0.87,0.92,0.81,0.77,0.2,0.27,0.21,0.18,0.24,0.18,0.1,0.17,0.16,0.14
e_1,0.6,0.42,0.99,1.03,0.88,0.86,0.27,0.28,0.21,0.2,0.25,0.23,0.13,0.21,0.27,0.15
d_1,1.0,1.16,0.42,0.91,0.89,0.76,0.25,0.17,0.32,0.17,0.17,0.16,0.12,0.15,0.17,0.09
c_1,0.96,0.76,1.23,0.4,1.04,1.05,0.27,0.26,0.12,0.26,0.2,0.19,0.15,0.19,0.19,0.13
b_1,1.23,0.95,1.22,0.63,0.37,1.13,0.31,0.33,0.2,0.32,0.21,0.35,0.18,0.2,0.23,0.14
a_1,1.56,1.35,1.53,1.29,0.63,0.31,0.34,0.39,0.27,0.32,0.28,0.38,0.21,0.37,0.24,0.19
h_1,1.84,1.84,1.79,1.75,1.51,1.44,0.28,0.49,0.4,0.36,0.33,0.37,0.31,0.29,0.29,0.26
g_1,1.93,1.94,1.84,2.0,1.68,1.49,0.44,0.28,0.43,0.41,0.39,0.4,0.2,0.38,0.33,0.3
d_0,1.79,1.24,2.66,2.21,2.02,2.22,0.61,0.61,0.3,0.44,0.43,0.42,0.3,0.4,0.36,0.36
c_0,2.3,2.22,1.23,3.09,2.26,1.95,0.71,0.55,0.72,0.28,0.39,0.44,0.31,0.38,0.4,0.25
f_0,2.63,1.91,1.96,1.88,2.1,1.95,0.7,0.43,0.45,0.43,0.28,0.42,0.31,0.48,0.38,0.2
b_0,2.21,2.21,1.64,2.87,3.04,1.79,0.74,0.58,0.5,0.25,0.5,0.28,0.3,0.5,0.4,0.29
h_0,2.38,2.42,2.51,2.7,2.3,1.99,0.96,0.74,0.58,0.48,0.52,0.48,0.44,0.47,0.41,0.33
a_0,2.48,2.46,2.25,2.91,2.94,3.6,0.81,0.6,0.55,0.45,0.59,0.32,0.3,0.27,0.47,0.33
e_0,3.36,2.94,2.37,2.44,2.26,2.36,0.84,0.61,0.65,0.46,0.28,0.5,0.39,0.48,0.28,0.29
g_0,3.05,2.82,2.62,3.13,2.8,2.76,0.67,0.89,0.66,0.53,0.52,0.53,0.34,0.49,0.56,0.44
