,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.67,2.38,2.08,2.03,1.82,1.67,0.72,0.87,0.63,0.7,0.72,1.25,0.43,0.75,0.57,0.83
e_1,1.31,0.67,2.27,2.37,2.01,2.11,0.9,1.11,0.69,0.94,0.85,0.77,0.65,0.69,1.54,0.55
d_1,2.19,2.14,0.65,1.97,2.28,1.86,0.95,0.73,0.85,1.53,0.73,0.79,0.61,0.75,0.78,0.38
c_1,2.14,1.88,2.78,0.64,2.36,1.58,1.16,0.99,1.58,0.5,0.8,0.79,0.62,0.61,0.76,0.66
b_1,2.73,2.2,2.03,1.4,0.63,3.34,1.1,0.97,1.01,0.82,1.98,0.73,0.69,0.73,0.8,0.56
a_1,2.86,2.82,3.28,3.31,1.35,0.57,0.99,1.07,1.17,0.97,0.96,0.85,1.17,3.4,0.84,0.68
h_1,2.89,2.81,2.52,2.28,2.8,2.56,0.59,1.18,0.98,1.23,0.84,0.92,1.49,0.8,0.78,0.87
g_1,4.12,2.91,2.48,2.9,2.73,2.86,1.18,0.56,1.05,1.04,1.08,1.22,0.72,1.09,0.76,1.32
c_0,3.52,3.04,1.81,6.31,2.98,2.26,1.4,1.34,0.65,1.19,1.09,0.95,0.92,1.07,0.86,0.86
d_0,3.1,1.78,5.68,3.26,3.46,2.33,1.29,1.49,1.19,0.69,1.13,1.04,0.98,1.08,0.87,1.02
b_0,3.04,2.81,2.87,3.36,4.79,2.42,1.46,1.32,0.71,0.96,0.64,1.04,0.87,1.25,0.97,0.86
f_0,7.39,3.14,2.51,3.37,3.01,2.86,1.58,1.01,1.22,1.17,1.22,0.61,1.07,0.91,0.99,0.71
h_0,4.18,3.27,3.08,3.54,4.21,2.38,2.14,1.33,1.41,1.03,1.17,0.96,1.42,1.07,1.17,1.29
a_0,3.63,3.48,3.36,3.5,4.01,,1.85,1.46,1.1,1.15,0.67,1.5,1.0,0.61,1.19,1.15
e_0,4.16,5.85,3.16,3.4,3.68,3.68,1.91,2.01,1.51,1.39,1.23,1.0,0.84,1.18,0.58,1.11
g_0,3.45,4.31,3.88,3.84,4.16,4.51,1.32,,1.26,1.28,1.36,1.32,0.79,1.23,1.27,1.68
