,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.89,0.14,0.21,0.21,0.14,0.11,0.18,0.13,0.16,0.32,0.16,0.14,0.15,0.09,0.04,0.1
d_1,0.2,0.89,0.18,0.13,0.15,0.11,0.18,0.13,0.33,0.05,0.17,0.16,0.16,0.11,0.12,0.15
f_1,0.34,0.21,0.89,0.14,0.13,0.08,0.18,0.14,0.15,0.16,0.04,0.13,0.13,0.12,0.07,0.13
c_1,0.14,0.17,0.19,0.89,0.3,0.1,0.16,0.12,0.06,0.17,0.14,0.08,0.17,0.09,0.1,0.16
b_1,0.18,0.16,0.17,0.16,0.89,0.25,0.17,0.13,0.11,0.15,0.14,0.04,0.18,0.08,0.11,0.13
a_1,0.18,0.2,0.19,0.21,0.16,0.87,0.14,0.16,0.14,0.15,0.13,0.17,0.14,0.04,0.13,0.13
h_1,0.19,0.25,0.31,0.23,0.18,0.11,0.54,0.2,0.19,0.17,0.18,0.18,0.12,0.12,0.13,0.22
g_1,0.21,0.4,0.19,0.12,0.17,0.14,0.22,0.55,0.23,0.14,0.25,0.18,0.15,0.12,0.14,0.09
c_0,0.23,0.28,0.27,0.11,0.16,0.13,0.24,0.18,0.44,0.17,0.19,0.34,0.18,0.17,0.12,0.18
d_0,0.23,0.08,0.23,0.44,0.21,0.1,0.23,0.13,0.12,0.44,0.15,0.17,0.22,0.13,0.11,0.14
f_0,0.19,0.27,0.16,0.18,0.2,0.13,0.26,0.2,0.23,0.19,0.44,0.2,0.23,0.14,0.33,0.18
b_0,0.2,0.33,0.26,0.23,0.08,0.09,0.22,0.18,0.19,0.18,0.17,0.42,0.24,0.3,0.14,0.17
h_0,0.19,0.26,0.33,0.24,0.17,0.16,0.1,0.25,0.19,0.21,0.16,0.16,0.13,0.17,0.13,0.24
a_0,0.23,0.26,0.28,0.21,0.18,0.05,0.26,0.17,0.18,0.17,0.21,0.18,0.24,0.4,0.14,0.19
e_0,0.1,0.28,0.3,0.19,0.17,0.16,0.26,0.18,0.18,0.17,0.17,0.18,0.25,0.12,0.39,0.18
g_0,0.17,0.39,0.19,0.26,0.19,0.14,0.2,0.09,0.18,0.15,0.25,0.19,0.19,0.12,0.15,0.09
