,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,92.51,87.38,64.01,68.84,91.98,361.95,8210.8,14765.11,15881.06,24215.93,37315.46,19937.71,52520.61,83512.64,152632.5,120144.87
e_1,37.32,108.93,72.2,63.78,121.85,336.77,9073.59,13150.07,26778.31,28828.68,37396.46,41640.8,58925.49,83049.75,152918.75,138089.62
c_1,37.1,42.34,125.67,65.68,183.01,298.02,8577.17,12972.77,12437.37,13094.09,25579.67,33338.41,53395.84,62646.91,128875.48,148418.06
d_1,43.34,42.95,46.79,141.93,92.78,340.62,7785.9,11192.31,8419.86,35900.04,35326.13,37251.94,46658.21,80947.19,141495.0,142628.5
b_1,35.22,31.74,41.45,53.8,212.83,472.58,7013.62,11397.71,13312.97,19934.24,17962.95,26638.23,48045.02,45411.36,128202.11,106121.86
a_1,26.5,27.17,34.69,32.94,46.75,557.59,4341.65,7686.01,9434.5,13570.13,15855.14,17195.23,35426.0,25644.54,70979.71,61808.78
h_1,14.02,12.12,12.95,19.14,24.48,85.83,3580.41,3959.56,3508.79,6295.8,9516.01,6979.71,11358.65,19153.29,46308.88,34789.61
g_1,7.76,10.06,12.06,21.71,21.49,70.14,1571.49,5338.39,3116.41,5209.97,8025.82,10016.1,11350.11,17279.48,23325.92,40684.59
d_0,8.61,7.98,21.39,11.54,23.2,53.98,1973.07,3030.54,4874.3,4258.08,8029.13,8451.86,13638.7,20315.21,31612.64,39779.69
c_0,8.75,8.43,10.09,12.6,14.38,67.41,1320.95,2731.31,3492.8,6794.44,11724.88,7299.17,11457.62,18832.93,33041.77,34474.52
b_0,7.2,7.84,10.18,13.3,10.63,57.95,1377.2,2554.38,2336.99,3423.54,9115.44,5985.44,9839.79,22206.89,23144.65,28555.36
f_0,5.38,6.51,10.15,13.0,15.67,47.35,1497.28,2261.83,2826.94,4506.81,6414.62,9749.45,11196.33,15509.43,25328.95,48418.01
h_0,7.84,6.87,9.38,11.97,15.97,43.67,877.88,2730.53,2206.17,3619.36,5623.21,4673.03,6236.6,12013.33,25573.65,22223.27
a_0,5.24,6.26,8.69,9.39,14.26,32.33,1108.59,1940.66,1722.9,2538.59,4431.92,4853.54,6921.61,17449.92,18125.8,23519.1
g_0,4.4,4.63,6.1,10.62,10.22,31.04,835.73,1235.69,1462.68,2404.64,4572.12,5450.04,5968.83,9421.95,11891.06,18530.09
e_0,4.97,2.68,6.92,7.24,14.65,40.33,774.99,1162.39,1568.2,2461.53,4119.92,3461.94,6772.94,6476.17,15644.49,30075.68
