,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.39,1.13,0.95,0.76,0.96,0.86,2.11,1.89,1.63,3.82,2.63,2.22,2.83,2.15,2.61,2.03
f_1,0.98,2.39,1.69,0.95,0.89,0.7,1.85,1.77,2.37,2.09,1.97,1.38,2.79,1.68,2.5,1.17
e_1,0.94,1.14,2.39,1.18,1.02,0.82,1.98,1.8,3.62,2.12,2.21,1.92,2.46,1.76,2.25,1.37
c_1,1.04,0.95,0.97,2.59,1.75,0.78,1.92,1.84,2.05,1.31,1.42,2.3,2.72,1.81,2.41,1.69
b_1,1.04,1.07,1.06,1.02,2.66,1.55,1.77,1.57,2.07,2.01,1.53,2.0,2.37,1.71,2.57,1.75
a_1,1.2,0.99,1.01,1.08,0.96,3.15,2.14,1.82,2.19,2.14,2.27,2.03,2.98,1.49,2.63,2.1
h_1,1.25,1.51,1.14,1.08,0.96,0.72,3.51,2.52,1.94,2.29,1.9,1.83,2.11,1.96,2.88,1.88
g_1,1.59,1.07,1.0,1.05,0.99,0.77,1.88,3.69,1.98,2.57,2.19,2.98,2.88,1.95,1.88,2.39
d_0,0.91,1.21,1.12,1.9,1.11,0.72,2.02,1.87,3.26,1.79,2.19,1.9,2.85,1.68,2.43,1.97
c_0,1.33,1.41,1.08,0.88,0.82,0.86,2.44,1.95,2.3,3.38,3.98,2.15,3.17,2.64,2.8,2.48
b_0,1.4,1.3,1.1,1.11,0.72,0.75,2.21,2.02,2.09,2.3,3.5,2.18,2.92,3.59,3.05,1.89
f_0,1.24,1.11,1.0,1.06,1.04,1.01,2.2,1.87,2.35,2.51,2.43,3.64,2.78,2.24,2.7,4.01
h_0,1.31,1.53,1.21,1.01,0.94,0.76,1.42,2.31,2.06,2.24,2.6,2.14,2.54,1.99,3.27,1.72
a_0,1.21,1.4,1.08,1.24,1.11,0.5,2.24,2.05,2.55,2.4,2.55,2.19,3.21,3.77,2.8,1.92
g_0,1.61,1.08,1.03,1.06,1.05,0.9,1.97,1.44,2.0,2.41,2.52,3.17,2.75,2.23,2.45,2.35
e_0,1.27,1.34,1.11,1.06,1.1,1.01,2.25,2.12,1.9,1.98,2.41,2.04,3.15,2.18,2.38,3.63
