,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.42,1.38,1.24,1.21,1.31,1.63,0.58,0.55,0.64,0.52,0.52,1.06,0.36,0.58,0.56,0.52
e_1,0.83,0.41,1.31,1.6,1.39,1.13,0.72,0.6,0.68,0.76,0.57,0.79,0.52,0.65,0.52,1.15
d_1,1.46,1.54,0.4,1.18,1.18,1.2,0.66,0.68,0.52,1.27,0.73,0.56,0.49,0.44,0.36,0.58
c_1,1.43,1.14,1.35,0.4,1.34,1.18,0.79,0.89,0.63,0.39,0.55,0.51,0.47,0.54,0.57,0.54
b_1,1.41,1.37,1.2,0.83,0.36,1.66,0.74,0.68,0.68,0.6,1.38,0.56,0.63,0.62,0.45,0.5
a_1,1.1,1.81,1.6,1.28,0.78,0.3,0.61,0.7,0.87,0.78,0.64,0.57,0.53,1.22,0.53,0.55
h_1,1.11,0.9,0.9,0.87,0.95,0.92,0.26,0.39,0.68,0.39,0.54,0.41,0.82,0.44,0.4,0.45
c_0,1.11,0.87,0.57,2.05,0.98,0.87,0.58,0.27,0.63,0.58,0.53,0.42,0.38,0.48,0.36,0.37
g_1,1.03,0.94,1.13,1.12,1.01,0.77,0.39,0.32,0.23,0.37,0.38,0.43,0.27,0.46,0.46,0.48
d_0,1.17,0.56,1.69,1.19,0.97,0.83,0.58,0.37,0.71,0.27,0.48,0.41,0.36,0.42,0.4,0.4
b_0,0.92,0.94,0.99,1.25,1.82,0.84,0.44,0.24,0.55,0.39,0.24,0.42,0.37,0.69,0.41,0.47
f_0,1.84,0.81,0.99,1.02,0.94,0.98,0.53,0.38,0.38,0.43,0.34,0.24,0.36,0.47,0.23,0.44
h_0,1.03,0.82,0.98,0.92,0.93,0.86,0.76,0.41,0.69,0.47,0.44,0.43,0.56,0.37,0.39,0.39
a_0,1.03,0.8,1.13,1.13,0.91,,0.58,0.41,0.54,0.39,0.22,0.36,0.45,0.22,0.4,0.56
g_0,0.88,0.9,1.08,0.89,1.16,0.94,0.38,0.47,1.03,0.37,0.4,0.53,0.33,0.41,0.55,0.45
e_0,1.36,1.13,0.82,1.05,1.11,0.94,0.5,0.41,0.47,0.38,0.41,0.25,0.43,0.37,0.35,0.2
