,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.78,0.97,0.9,1.04,1.14,0.88,1.31,1.11,1.02,1.06,1.0,0.98,0.88,,1.07
f_1,1.29,1.0,0.9,1.04,0.94,0.97,0.79,1.05,1.08,1.02,0.99,,0.91,0.93,0.95,1.02
c_1,1.03,1.11,1.0,1.1,1.44,0.89,0.98,0.68,,1.13,0.75,1.03,1.15,1.05,1.06,1.0
d_1,1.11,0.96,0.91,1.0,1.07,0.82,1.03,,1.26,0.88,0.96,1.33,0.97,1.19,1.2,0.67
b_1,0.97,1.06,0.69,0.94,1.0,1.71,1.04,1.0,1.02,1.11,,1.0,0.91,,1.18,1.09
a_1,0.88,1.04,1.12,1.22,0.58,1.0,1.02,1.13,1.1,1.0,1.0,1.07,1.1,,,1.07
h_1,1.13,1.27,1.02,0.97,0.96,0.98,1.0,1.03,0.95,0.96,0.86,0.76,,0.96,1.08,1.02
d_0,0.76,0.95,1.48,,1.0,0.88,0.97,1.0,0.94,0.92,0.99,1.0,1.07,1.13,0.9,1.02
c_0,0.9,0.92,,0.79,0.98,0.91,1.05,1.07,1.0,1.05,1.53,1.03,1.0,0.78,0.9,1.19
g_1,0.98,0.98,0.89,1.14,0.9,1.0,1.04,1.09,0.95,1.0,0.85,1.43,0.78,1.14,0.82,
b_0,0.94,1.01,1.34,1.04,,1.0,1.16,1.01,0.65,1.17,1.0,0.76,1.07,1.2,1.0,1.1
f_0,1.0,,0.97,0.75,1.0,0.94,1.31,1.0,0.97,0.7,1.32,1.0,1.11,1.0,1.2,1.02
h_0,1.02,1.09,0.87,1.03,1.1,0.91,,0.93,1.0,1.28,0.94,0.9,,0.92,0.95,1.06
a_0,1.14,1.07,0.95,0.84,,,1.04,0.88,1.28,0.87,0.84,1.0,1.08,1.0,0.92,
e_0,,1.05,0.95,0.84,0.85,,0.93,1.11,1.11,1.22,1.0,0.83,1.05,1.09,1.0,1.0
g_0,0.93,0.98,1.0,1.5,0.92,0.93,0.98,0.98,0.84,,0.91,0.98,0.94,,1.0,
