,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.5,0.65,0.62,0.78,0.68,0.62,0.83,0.96,0.8,1.53,0.9,1.01,1.02,1.03,0.44,1.11
f_1,1.14,2.57,0.55,0.65,0.64,0.55,0.83,0.72,0.8,0.85,0.88,0.4,0.88,0.79,0.63,0.76
d_1,0.57,0.71,2.86,0.54,0.51,0.74,0.96,1.02,1.82,0.45,1.12,1.05,1.03,1.21,1.02,1.19
c_1,0.53,0.68,0.6,3.01,1.22,0.56,0.84,0.91,0.31,0.97,0.73,0.89,0.92,0.66,1.15,0.82
b_1,0.62,0.7,0.59,0.61,3.19,1.13,0.8,0.77,0.92,0.97,0.47,0.87,0.89,0.72,1.07,0.8
a_1,0.69,0.59,0.76,0.69,0.53,4.36,1.19,0.8,0.91,0.9,1.11,0.99,1.04,0.57,1.06,0.8
h_1,0.84,1.05,0.92,0.72,0.58,0.72,2.79,1.35,1.17,0.9,1.05,1.28,0.71,1.18,1.04,1.68
g_1,0.71,0.58,1.31,0.72,0.74,0.73,1.05,3.05,1.1,0.94,1.26,2.06,1.12,1.0,1.27,0.75
c_0,0.74,0.89,0.99,0.47,0.59,0.7,1.14,1.05,2.12,0.95,2.18,1.25,1.19,1.44,1.32,1.34
d_0,0.76,0.95,0.42,1.53,0.82,0.7,1.13,1.06,0.67,1.98,1.0,1.15,1.23,0.91,1.16,0.9
b_0,0.82,0.79,0.99,0.83,0.51,0.52,1.19,1.15,1.21,1.09,2.48,1.34,1.23,2.58,1.02,1.38
f_0,0.63,0.63,0.92,0.97,0.75,0.7,1.17,1.16,1.22,1.17,1.3,2.54,1.33,1.24,2.48,1.2
h_0,0.77,1.17,0.91,0.75,0.65,0.53,0.68,1.51,1.04,1.05,1.25,0.98,0.91,1.56,1.3,1.49
a_0,0.87,0.83,0.91,0.75,0.62,0.53,1.4,1.24,1.4,1.28,1.23,1.21,1.32,3.0,1.31,1.54
e_0,0.44,1.11,0.94,1.05,0.79,0.75,1.42,1.2,1.07,1.08,1.13,1.05,1.36,0.86,3.17,1.23
g_0,0.64,0.62,1.52,0.78,0.67,0.69,0.99,0.97,1.23,0.87,1.42,1.73,1.26,1.34,1.15,0.84
