,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.15,96.03,75.52,84.11,73.46,68.83,17.02,24.36,14.57,17.46,16.58,,8.9,17.17,11.72,12.0
e_1,42.67,1.15,127.81,74.1,77.66,99.8,22.54,19.49,17.18,22.63,22.96,19.46,12.36,17.95,12.59,
d_1,102.65,117.71,1.15,100.39,113.25,76.77,25.27,17.49,,16.97,18.66,15.81,12.71,23.24,6.67,19.06
c_1,111.71,89.0,127.81,1.15,87.68,142.57,26.06,23.52,9.85,,23.88,21.08,13.48,21.94,15.45,
b_1,135.64,81.09,138.46,66.21,1.15,83.17,49.06,35.89,18.61,27.77,,25.3,13.48,19.75,21.25,29.45
a_1,211.0,135.15,138.46,135.3,113.25,1.15,52.13,40.12,35.26,33.94,31.42,38.92,23.42,,22.67,
h_1,94.95,145.96,92.31,86.44,75.5,105.05,2.0,24.36,20.3,15.27,16.14,16.87,,18.81,17.0,20.25
g_1,105.5,130.32,107.19,119.69,143.05,133.07,23.83,2.0,30.45,26.57,16.14,24.1,15.34,,,
d_0,88.33,49.99,,94.3,123.55,142.57,23.17,26.23,2.99,21.07,19.9,15.33,12.03,,10.3,23.14
c_0,118.69,91.22,52.75,,97.07,110.89,23.83,45.47,19.71,3.13,19.9,16.87,12.36,26.33,15.45,18.0
b_0,99.95,125.83,100.7,148.19,,90.73,28.76,34.1,17.63,11.31,2.99,26.63,13.48,20.79,13.08,20.25
f_0,,114.03,97.74,107.31,181.2,124.75,52.13,21.31,21.61,23.5,24.88,2.98,15.89,21.94,13.08,
h_0,82.57,114.03,72.24,97.25,71.53,62.38,,26.23,21.61,15.67,21.32,21.08,,18.81,12.59,14.09
a_0,130.97,173.76,221.53,129.67,226.5,,39.71,,,32.16,21.32,29.76,17.8,3.02,24.29,24.92
g_0,165.13,145.96,144.48,129.67,113.25,166.33,20.34,,33.5,24.44,22.11,22.0,12.71,17.95,,20.25
e_0,253.2,,195.47,,159.88,,41.7,,31.9,26.57,33.17,,27.81,26.33,28.33,3.18
