,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.38,0.69,0.54,0.88,0.6,0.61,0.92,1.76,0.91,0.75,0.96,0.91,0.97,0.67,0.98,0.98
f_1,1.07,2.52,0.6,0.62,0.65,0.54,0.79,0.79,0.71,0.85,1.02,0.39,0.91,0.69,1.04,0.73
d_1,0.62,0.68,2.88,0.54,0.56,0.52,0.93,0.48,0.98,1.84,1.17,1.1,1.02,1.14,1.0,0.94
c_1,0.52,0.68,0.64,2.92,1.2,0.62,0.9,0.7,0.87,0.32,0.77,0.87,0.91,0.79,0.82,0.99
b_1,0.65,0.6,0.64,0.6,3.14,1.27,0.92,0.88,0.86,0.72,0.37,1.02,1.1,0.83,0.66,1.0
a_1,0.55,0.81,0.75,0.65,0.57,4.64,1.03,0.94,0.89,1.16,0.95,1.0,0.93,1.0,0.36,1.07
h_1,0.77,1.11,0.79,0.79,0.8,0.69,2.71,0.98,1.41,1.03,1.08,0.95,0.73,1.21,1.09,1.43
d_0,0.8,0.75,0.47,1.59,0.77,0.76,1.02,2.07,0.97,0.84,1.0,1.39,1.1,1.14,1.17,1.23
g_1,0.76,0.62,1.48,0.6,0.69,0.82,0.97,0.92,3.31,1.2,1.06,1.99,1.14,1.31,1.39,0.79
c_0,0.89,0.88,1.06,0.45,0.66,0.6,1.17,0.87,1.18,2.28,2.31,1.2,1.22,1.45,1.4,1.12
b_0,1.04,0.82,0.96,0.71,0.3,0.61,1.13,1.19,1.16,1.26,2.5,1.27,1.41,1.4,3.07,1.06
f_0,0.75,0.65,0.95,0.75,0.75,0.8,1.46,1.2,1.29,1.33,1.25,2.59,1.28,2.65,0.88,1.42
h_0,0.82,1.06,0.99,0.81,0.58,0.69,0.65,1.11,1.49,1.12,1.23,1.25,0.62,1.27,1.12,1.68
e_0,0.48,1.05,0.81,0.85,0.65,0.74,1.37,1.18,1.12,1.4,1.3,1.52,1.29,3.57,1.09,1.41
a_0,0.82,0.93,1.02,0.82,0.63,0.35,1.09,1.04,1.4,1.14,1.27,1.25,1.32,1.66,3.43,1.18
g_0,0.66,0.71,1.26,0.93,0.8,0.67,1.1,0.86,0.85,1.15,1.05,1.94,1.01,1.26,1.1,0.84
