,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.44,2.56,4.49,4.25,3.92,5.27,1.27,1.22,1.09,0.85,1.05,1.07,1.2,0.77,0.57,4.16
f_1,3.71,0.44,4.13,3.9,3.91,5.11,0.91,2.3,0.96,0.84,0.79,3.72,0.84,0.43,0.87,0.72
d_1,5.29,3.91,0.43,5.24,4.1,4.16,1.47,0.84,3.59,0.75,1.05,0.75,0.77,0.6,0.47,0.86
c_1,4.54,4.63,5.73,0.42,4.8,3.91,1.18,1.08,0.48,3.21,0.98,0.75,1.05,0.66,0.8,0.91
b_1,6.49,6.14,4.65,2.57,0.38,5.1,1.31,1.43,1.1,1.35,4.28,1.57,1.3,0.7,0.7,0.74
a_1,7.07,6.31,5.5,9.09,3.51,0.32,2.91,1.54,1.48,1.22,1.18,1.14,7.52,0.89,0.8,1.33
h_1,5.04,4.46,4.67,5.23,5.97,4.3,0.36,1.29,1.04,1.22,1.08,0.86,0.91,1.96,0.95,1.05
g_1,5.41,5.9,5.44,5.66,6.26,5.31,1.2,0.34,1.15,1.06,0.9,0.85,0.94,0.61,1.26,0.97
d_0,2.83,6.24,20.84,5.83,6.27,5.12,1.73,2.11,0.44,1.35,1.19,1.04,1.05,0.93,0.77,0.86
c_0,4.8,7.5,2.69,20.62,7.97,5.64,1.69,1.6,1.52,0.43,1.21,1.38,1.13,0.87,0.82,1.14
b_0,5.41,5.07,4.55,7.77,23.73,6.09,1.58,1.78,1.25,0.7,0.4,1.15,1.1,1.07,1.06,1.02
f_0,5.58,16.58,5.83,5.75,5.64,6.73,1.56,1.03,1.08,0.97,1.01,0.41,1.24,1.38,0.46,1.05
a_0,6.42,6.38,6.41,7.56,8.11,,1.99,2.34,1.93,1.23,0.71,1.26,0.35,0.78,0.91,1.86
h_0,6.3,9.27,5.65,6.32,7.4,5.28,4.16,2.86,1.53,1.44,1.24,1.19,1.84,2.53,0.88,1.08
g_0,7.34,7.45,8.85,8.0,9.4,7.64,1.77,4.4,1.59,1.41,1.39,1.61,1.33,0.75,2.09,1.35
e_0,11.0,11.37,9.4,7.32,8.12,5.3,1.79,2.03,1.23,2.08,1.64,0.64,1.32,1.06,1.09,0.36
