,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.43,1.67,2.01,2.25,1.93,1.9,0.39,0.4,0.73,0.4,0.37,0.77,0.19,0.37,0.45,0.4
e_1,1.1,0.43,2.16,2.39,2.43,2.11,0.6,0.47,0.66,0.42,0.46,0.62,0.33,0.44,1.11,0.31
d_1,2.37,2.37,0.42,2.29,1.7,1.94,0.58,0.37,0.33,1.01,0.44,0.39,0.26,0.38,0.44,0.2
c_1,2.4,1.59,3.28,0.4,2.97,1.91,0.6,0.96,0.63,0.23,0.4,0.38,0.3,0.36,0.34,0.29
b_1,2.35,2.65,2.18,1.06,0.4,2.69,0.87,0.57,0.65,0.58,1.19,0.43,0.39,0.48,0.45,0.36
a_1,2.88,2.76,2.49,3.76,1.3,0.34,0.7,0.53,0.94,0.68,0.83,0.69,0.53,1.94,0.56,0.41
h_1,3.38,2.96,3.35,3.72,3.14,2.53,0.34,0.67,1.09,0.63,0.61,0.65,0.79,0.63,0.69,0.45
c_0,4.04,4.08,1.85,12.97,4.24,3.7,1.08,0.39,0.9,1.0,0.73,0.64,0.58,0.79,0.63,0.58
g_1,3.89,4.3,3.32,4.03,3.58,4.36,0.83,0.67,0.3,0.89,0.73,0.71,0.4,0.67,0.59,0.65
d_0,3.43,2.22,5.56,4.74,3.97,3.15,1.31,0.85,1.43,0.41,0.84,0.77,0.56,0.76,0.78,0.51
b_0,4.28,3.98,2.94,4.76,9.73,3.85,1.1,0.42,1.26,0.81,0.35,0.76,0.68,0.74,0.75,0.45
f_0,8.98,3.99,3.49,4.48,4.26,3.8,1.45,0.71,0.73,0.99,0.75,0.35,0.6,0.8,0.85,0.35
h_0,4.47,4.26,3.77,4.4,4.27,3.93,2.35,0.78,1.34,0.88,0.82,0.77,1.12,0.71,0.85,0.75
a_0,6.33,4.9,3.56,4.35,7.52,8.07,1.08,0.8,1.48,1.03,0.47,0.77,0.86,0.35,0.86,0.84
e_0,6.14,7.98,4.02,4.73,4.95,5.47,1.59,0.92,1.78,1.03,0.91,0.4,0.66,0.84,0.32,0.62
g_0,5.19,4.74,4.91,4.51,4.84,4.72,1.04,1.03,2.36,1.21,1.2,1.0,0.61,0.98,0.88,1.4
