,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.32,1.02,0.5,0.54,0.51,0.36,0.95,0.89,0.88,0.98,1.05,0.49,1.45,0.79,0.59,1.03
e_1,0.66,2.33,0.44,0.65,0.5,0.38,1.1,1.22,0.98,2.31,1.17,1.1,1.51,1.0,0.5,1.28
d_1,0.62,0.55,2.41,0.38,0.55,0.45,1.21,2.32,0.93,0.7,1.38,1.48,1.47,1.07,1.15,1.38
c_1,0.59,0.48,0.57,2.45,1.0,0.31,0.85,0.44,0.82,1.02,0.82,1.22,1.25,1.01,0.88,1.26
b_1,0.53,0.49,0.66,0.56,2.5,0.89,1.12,0.96,0.86,0.97,0.61,1.07,1.46,0.67,1.01,1.45
a_1,0.6,0.48,0.67,0.7,0.43,3.07,1.21,1.42,0.95,1.15,1.23,1.0,1.55,0.52,0.77,1.39
h_1,0.97,0.64,0.81,0.58,0.67,0.52,3.11,1.21,1.33,1.4,1.35,1.27,1.12,1.0,1.0,2.23
c_0,0.84,0.76,0.74,0.52,0.45,0.58,1.29,2.89,0.85,1.31,2.9,1.43,1.73,1.45,1.4,1.41
g_1,0.64,0.61,1.15,0.65,0.59,0.51,1.06,1.54,3.38,1.2,1.16,2.16,1.8,1.27,1.19,1.05
d_0,0.82,0.72,0.33,1.41,0.55,0.57,1.03,1.2,1.03,2.57,1.46,1.21,1.58,1.22,0.9,1.4
b_0,0.82,0.78,0.74,0.75,0.43,0.34,0.82,1.54,1.38,1.58,2.9,1.28,2.06,2.78,1.43,1.65
f_0,0.52,0.62,0.76,0.83,0.82,0.55,1.27,1.45,1.13,1.57,1.44,2.87,1.89,1.32,2.63,1.42
h_0,1.03,0.68,0.72,0.7,0.62,0.55,0.73,1.43,1.53,1.49,1.52,1.16,1.2,1.12,1.08,2.31
a_0,0.87,0.72,0.75,0.7,0.64,0.3,1.54,1.42,0.88,1.49,1.4,1.45,1.81,3.08,1.22,1.68
e_0,0.78,0.49,0.71,0.75,0.78,0.42,1.43,1.44,1.29,1.46,1.52,1.17,1.83,1.21,3.4,1.89
g_0,0.63,0.62,1.22,0.77,0.63,0.48,1.25,1.44,0.67,1.07,1.19,2.28,1.4,1.19,1.06,1.07
