,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.56,1.15,0.58,0.64,0.6,0.53,0.83,0.69,0.87,0.77,0.88,0.41,0.98,0.78,0.62,0.76
e_1,0.73,2.63,0.52,0.76,0.6,0.55,0.96,0.95,0.96,1.81,0.98,0.93,1.02,0.99,0.52,0.94
d_1,0.68,0.62,2.8,0.45,0.65,0.66,1.06,1.81,0.92,0.55,1.16,1.25,0.99,1.05,1.2,1.02
c_1,0.65,0.54,0.66,2.87,1.18,0.45,0.74,0.34,0.81,0.8,0.69,1.04,0.84,1.0,0.92,0.93
b_1,0.59,0.55,0.76,0.65,2.97,1.29,0.97,0.75,0.85,0.76,0.51,0.91,0.99,0.66,1.06,1.07
a_1,0.67,0.54,0.78,0.82,0.51,4.46,1.05,1.11,0.94,0.9,1.03,0.85,1.04,0.51,0.81,1.02
h_1,1.07,0.72,0.94,0.68,0.79,0.75,2.7,0.94,1.31,1.09,1.13,1.08,0.76,0.99,1.05,1.64
c_0,0.92,0.86,0.86,0.61,0.54,0.84,1.12,2.25,0.83,1.02,2.43,1.21,1.16,1.42,1.47,1.03
g_1,0.71,0.69,1.33,0.76,0.69,0.74,0.92,1.2,3.33,0.94,0.97,1.83,1.21,1.25,1.25,0.77
d_0,0.91,0.81,0.39,1.65,0.65,0.83,0.89,0.93,1.02,2.0,1.22,1.02,1.06,1.2,0.94,1.03
b_0,0.91,0.88,0.86,0.88,0.52,0.5,0.71,1.2,1.36,1.23,2.43,1.08,1.39,2.74,1.51,1.22
f_0,0.58,0.69,0.88,0.98,0.97,0.8,1.1,1.13,1.11,1.23,1.2,2.43,1.27,1.3,2.76,1.04
h_0,1.13,0.76,0.83,0.82,0.73,0.8,0.64,1.11,1.51,1.16,1.27,0.98,0.81,1.1,1.13,1.7
a_0,0.97,0.81,0.87,0.82,0.75,0.44,1.34,1.11,0.87,1.16,1.17,1.23,1.22,3.03,1.28,1.24
e_0,0.86,0.56,0.82,0.88,0.92,0.61,1.25,1.12,1.27,1.14,1.27,0.99,1.24,1.19,3.57,1.39
g_0,0.7,0.7,1.42,0.9,0.75,0.7,1.09,1.12,0.66,0.84,1.0,1.93,0.94,1.17,1.11,0.79
