,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.1,2.59,2.72,3.13,2.77,2.52,0.63,0.91,0.53,0.59,0.55,0.74,0.34,0.52,0.58,0.45
d_1,3.13,1.1,3.62,3.1,2.76,2.62,0.79,0.56,0.62,1.14,0.67,0.57,0.41,0.62,0.55,0.26
e_1,1.87,3.38,1.11,3.5,3.53,3.17,1.06,1.02,0.71,0.7,0.6,0.86,0.48,0.6,1.07,0.67
c_1,3.66,4.14,2.99,1.11,3.27,3.09,0.95,0.98,1.16,0.41,0.76,0.65,0.52,0.7,0.61,0.58
b_1,4.34,4.29,3.95,2.11,1.12,4.19,1.37,1.26,1.09,0.82,1.11,0.94,0.6,0.9,0.88,0.58
a_1,6.19,6.11,5.77,5.32,2.87,1.13,1.93,1.97,1.13,1.34,1.53,1.27,0.85,1.99,1.27,0.83
h_1,14.06,10.9,10.6,12.86,11.13,10.68,1.61,3.14,2.19,2.47,2.15,1.97,2.26,2.02,2.05,1.51
g_1,15.25,13.03,13.47,14.05,15.28,12.0,2.8,1.64,2.87,3.13,2.42,2.53,1.62,3.16,2.62,2.3
c_0,15.07,8.26,15.45,27.21,16.01,14.95,4.7,4.2,1.94,5.72,3.11,3.12,2.47,3.09,2.92,1.91
d_0,14.72,26.64,8.58,15.55,15.46,16.76,5.02,6.3,3.72,2.04,2.92,3.58,2.57,3.14,3.45,3.25
b_0,17.6,13.63,15.87,22.58,26.52,15.19,5.8,5.04,1.98,4.27,2.09,3.26,2.59,3.7,3.55,2.4
f_0,30.26,17.28,18.99,17.52,17.45,18.69,4.73,3.62,3.89,4.18,3.96,1.98,3.19,3.99,3.65,1.65
h_0,21.02,20.48,19.75,20.46,18.78,15.8,6.87,6.19,4.32,4.87,4.27,3.74,4.05,3.57,3.88,3.0
a_0,24.89,21.22,20.81,23.63,27.05,33.52,7.05,5.98,4.08,4.76,2.62,4.46,3.7,2.27,5.14,3.05
e_0,32.33,22.71,30.76,25.61,24.37,21.13,6.7,6.3,4.92,5.19,4.94,2.67,4.16,5.07,2.17,2.7
g_0,31.79,26.44,25.56,24.98,24.15,25.25,5.72,9.17,5.19,6.29,5.47,4.58,3.01,5.27,4.94,4.7
