,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.61,0.53,0.63,0.63,0.54,0.26,0.27,0.35,0.25,0.26,0.27,0.18,0.23,0.23,0.25
e_1,0.45,0.41,0.57,0.67,0.58,0.57,0.35,0.33,0.34,0.29,0.25,0.33,0.25,0.29,0.33,0.26
d_1,0.68,0.66,0.39,0.59,0.53,0.53,0.29,0.35,0.23,0.29,0.26,0.22,0.23,0.24,0.24,0.16
c_1,0.56,0.51,0.77,0.38,0.66,0.55,0.34,0.19,0.32,0.31,0.26,0.27,0.23,0.25,0.28,0.24
b_1,0.59,0.63,0.67,0.41,0.35,0.69,0.34,0.24,0.32,0.31,0.32,0.25,0.23,0.26,0.24,0.22
a_1,0.66,0.61,0.61,0.62,0.35,0.3,0.36,0.3,0.34,0.29,0.4,0.28,0.23,0.39,0.31,0.23
h_1,0.61,0.53,0.56,0.56,0.54,0.5,0.23,0.27,0.35,0.25,0.24,0.24,0.24,0.23,0.25,0.23
d_0,0.55,0.39,0.63,0.67,0.66,0.56,0.32,0.23,0.33,0.26,0.24,0.27,0.23,0.27,0.28,0.25
g_1,0.58,0.56,0.6,0.58,0.53,0.49,0.24,0.28,0.21,0.24,0.26,0.25,0.19,0.25,0.25,0.22
c_0,0.64,0.58,0.41,0.71,0.61,0.51,0.32,0.34,0.31,0.22,0.28,0.25,0.22,0.25,0.24,0.22
b_0,0.62,0.55,0.5,0.67,0.73,0.45,0.32,0.28,0.29,0.18,0.2,0.25,0.21,0.27,0.23,0.2
f_0,0.73,0.52,0.6,0.64,0.53,0.45,0.33,0.25,0.22,0.25,0.25,0.19,0.21,0.24,0.26,0.16
h_0,0.67,0.56,0.52,0.53,0.56,0.48,0.34,0.26,0.3,0.25,0.24,0.21,0.23,0.23,0.24,0.21
a_0,0.65,0.55,0.49,0.58,0.62,0.52,0.33,0.28,0.28,0.23,0.16,0.24,0.22,0.18,0.26,0.19
e_0,0.72,0.58,0.54,0.6,0.58,0.47,0.29,0.24,0.27,0.24,0.25,0.16,0.2,0.24,0.18,0.22
g_0,0.58,0.54,0.59,0.57,0.54,0.5,0.26,0.26,0.36,0.25,0.26,0.25,0.2,0.27,0.22,0.21
