,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.41,1.11,1.06,1.65,1.34,1.17,2.26,2.49,4.21,2.66,2.72,2.97,3.42,2.62,2.07,3.44
f_1,1.84,2.46,1.27,1.19,1.06,1.07,2.08,2.2,2.45,2.33,2.55,1.82,3.07,2.49,2.12,3.18
d_1,1.33,1.25,2.55,1.06,1.24,1.2,2.19,2.09,1.72,4.12,3.39,2.51,3.5,2.94,2.89,2.75
c_1,0.99,1.21,1.21,2.64,1.97,1.22,2.61,2.18,2.28,1.53,2.24,2.72,3.23,2.85,2.8,3.37
b_1,1.08,1.43,1.22,1.12,2.71,2.06,2.69,2.28,2.41,2.47,1.64,2.87,3.08,1.97,3.18,3.03
a_1,1.3,1.36,1.23,1.23,0.91,3.26,2.64,2.62,2.74,2.7,2.87,3.05,3.67,2.63,2.7,4.05
h_1,1.24,1.76,1.53,1.21,1.31,1.13,4.09,3.38,2.74,2.59,2.57,2.63,2.58,2.62,2.83,4.83
g_1,1.19,1.26,2.03,1.25,1.33,1.13,2.22,4.41,2.82,2.87,2.61,4.14,3.05,2.82,2.87,3.0
d_0,1.13,1.37,0.99,2.22,1.43,1.48,2.49,2.45,3.91,2.28,2.96,3.04,3.8,3.09,2.93,3.13
c_0,1.37,1.57,1.27,1.24,1.05,1.3,2.76,2.78,3.22,4.1,4.88,3.06,3.93,3.83,3.04,3.65
b_0,1.49,1.44,1.28,1.5,1.02,1.15,2.7,2.85,3.15,2.84,4.34,3.18,4.25,5.01,2.94,3.91
f_0,1.21,1.15,1.51,1.4,1.36,1.43,2.89,2.5,3.14,2.77,2.73,4.3,3.97,2.99,5.73,3.62
h_0,1.41,1.8,1.4,1.33,1.31,1.19,2.24,3.21,2.61,3.01,2.69,2.97,3.18,2.98,2.51,4.75
a_0,1.48,1.53,1.44,1.3,1.44,0.92,2.78,2.93,2.55,2.81,2.79,3.07,3.93,4.98,3.24,3.92
e_0,0.94,1.57,1.61,1.31,1.22,1.34,3.08,2.76,2.99,3.05,3.48,2.9,4.19,3.12,5.08,4.29
g_0,1.23,1.31,1.96,1.42,1.27,1.16,2.27,2.39,2.65,2.92,2.9,4.22,3.23,2.82,3.45,2.93
