,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.71,0.98,0.86,0.91,0.82,0.62,0.92,0.67,0.66,0.69,0.56,0.62,0.55,0.64,
f_1,1.41,1.0,1.02,0.86,1.04,1.19,0.68,0.68,0.68,0.75,,0.56,0.42,0.42,0.53,0.47
c_1,1.02,0.98,1.0,1.03,1.34,0.79,0.67,0.51,0.62,,0.66,0.65,0.72,0.54,0.75,0.49
d_1,1.16,1.16,0.97,1.0,0.96,0.81,0.7,,0.57,0.87,0.62,0.58,0.6,0.52,0.52,0.58
b_1,1.1,0.96,0.75,1.04,1.0,1.34,0.77,0.59,0.78,0.6,0.9,,0.74,,0.48,0.52
a_1,1.23,0.84,1.26,1.24,0.75,1.0,0.8,0.71,0.63,1.03,0.76,,0.75,,0.69,
h_1,1.6,1.46,1.49,1.42,1.3,1.25,1.0,0.94,1.09,0.87,0.78,0.78,,0.61,0.9,0.85
d_0,1.09,1.48,1.96,,1.7,1.42,1.07,1.0,0.98,0.91,0.95,0.91,0.81,0.83,0.88,0.78
g_1,1.48,1.47,1.6,1.74,1.28,1.6,0.92,1.02,1.0,0.91,1.01,1.02,0.7,,,
c_0,1.52,1.34,,1.15,1.66,0.97,1.14,1.1,1.1,1.0,1.08,1.5,0.9,0.85,0.84,0.62
f_0,1.45,,1.53,1.61,1.12,1.32,1.29,1.05,0.99,0.93,1.0,1.05,1.4,0.86,0.61,1.28
b_0,1.78,1.79,1.54,1.73,,,1.28,1.1,0.98,0.67,0.95,1.0,0.99,1.36,0.95,
h_0,1.61,2.35,1.39,1.65,1.36,1.33,,1.24,1.43,1.11,0.71,1.01,,0.9,1.25,0.85
a_0,1.81,2.38,1.85,1.92,,,1.64,1.2,,1.18,1.16,0.73,1.11,1.0,0.92,
g_0,1.56,1.88,1.34,1.92,2.07,1.45,1.11,1.13,,1.18,1.64,1.06,0.8,1.09,,1.18
e_0,,2.14,2.02,1.71,1.91,,1.17,1.28,,1.61,0.78,,1.18,,0.85,1.0
