,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.86,0.9,1.1,1.0,0.95,1.04,1.11,1.36,1.01,1.05,1.23,1.03,1.07,1.08,1.2
f_1,1.14,1.0,0.98,1.01,0.95,0.95,0.94,1.08,1.04,0.89,0.96,0.92,0.99,0.86,1.09,0.82
d_1,1.1,1.05,1.0,0.96,0.95,0.98,1.04,0.83,0.94,1.22,1.06,0.94,0.91,0.99,0.84,0.91
c_1,0.92,1.02,1.05,1.0,1.31,0.9,0.96,0.99,0.78,0.9,0.84,0.91,1.01,0.99,0.99,0.98
b_1,0.98,1.04,1.05,0.77,1.0,1.41,0.94,0.99,0.91,1.12,1.02,0.99,0.96,1.07,0.99,0.97
a_1,1.04,1.07,1.02,1.11,0.72,1.0,1.21,1.04,1.05,0.97,1.18,0.98,1.09,1.12,1.08,1.07
h_1,0.99,1.08,0.98,1.01,1.09,0.8,1.0,1.12,0.96,0.98,1.0,0.94,0.99,0.99,1.11,0.98
g_1,0.9,0.9,1.15,0.99,0.95,0.96,0.91,1.0,0.85,0.99,0.94,1.13,0.95,0.93,0.99,1.1
d_0,0.75,0.94,1.07,1.29,1.04,0.95,1.06,1.17,1.0,0.82,0.96,1.07,0.98,1.05,1.05,1.12
c_0,0.96,1.16,0.83,1.11,0.94,1.04,1.0,1.05,1.16,1.0,1.32,1.07,1.1,1.12,0.97,0.99
b_0,0.93,1.05,0.92,1.18,0.98,0.91,0.99,1.06,1.0,0.77,1.0,1.03,1.36,1.05,1.04,1.07
f_0,0.82,1.1,1.1,1.04,1.0,1.0,1.06,0.88,0.96,0.95,0.96,1.0,1.0,1.09,0.82,1.41
a_0,0.98,1.02,1.08,0.99,1.09,0.84,1.0,1.05,0.97,0.91,0.8,1.03,1.0,0.97,1.07,1.05
h_0,0.95,1.16,1.01,0.98,0.96,0.89,0.98,1.05,0.95,0.87,0.91,0.88,1.03,1.0,1.12,0.95
g_0,0.94,0.95,1.19,0.96,1.0,0.96,0.89,1.01,0.94,1.02,0.96,1.16,0.92,0.91,1.0,0.96
e_0,0.87,1.18,1.09,1.02,1.0,0.95,1.01,0.92,0.9,1.03,0.94,0.73,0.96,0.94,1.03,1.0
