,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,34.86,0.11,0.05,0.08,0.07,0.07,0.33,0.26,0.35,0.42,0.43,,0.65,0.38,0.29,0.43
e_1,0.07,37.57,0.07,0.07,0.06,0.05,0.23,0.34,0.47,0.63,0.42,0.39,0.51,0.41,,0.27
d_1,0.07,0.06,38.42,0.09,0.05,0.08,0.28,0.33,0.57,,0.34,0.3,0.62,0.35,0.36,0.7
c_1,0.07,0.06,0.04,43.86,0.14,0.07,0.34,0.27,,0.25,0.39,0.39,0.67,0.32,0.44,0.71
b_1,0.06,0.06,0.07,0.06,49.42,0.12,0.46,0.3,0.34,0.38,,0.45,0.52,0.27,0.35,0.42
a_1,0.05,0.06,0.08,0.07,0.08,77.37,0.32,0.26,0.35,0.47,0.36,,0.59,,,0.67
h_1,0.35,0.25,0.24,0.28,0.28,0.31,26.46,1.21,1.38,1.42,1.42,1.09,,1.83,1.45,3.03
g_1,0.18,0.26,0.42,0.15,0.19,0.3,1.05,34.09,1.66,1.36,1.05,1.9,2.73,1.38,2.37,
c_0,0.32,0.41,0.32,,0.29,0.44,1.38,1.15,19.21,1.96,4.32,1.95,2.81,1.75,1.66,2.81
d_0,0.46,0.32,,0.7,0.34,0.37,1.43,1.24,1.96,18.39,1.94,1.93,2.8,2.3,1.17,3.41
b_0,0.36,0.28,0.38,0.27,,,1.74,1.38,2.03,2.46,21.33,1.37,3.67,3.67,1.77,3.49
f_0,,0.32,0.38,0.31,0.47,0.32,1.15,1.34,1.8,2.57,2.49,23.19,2.27,1.57,4.2,3.16
h_0,0.74,0.49,0.66,0.47,0.64,0.42,,3.18,2.86,2.95,1.9,3.13,,2.8,3.16,6.99
a_0,0.33,0.45,0.43,0.34,0.25,,1.5,1.66,1.38,2.12,1.68,2.16,4.54,27.63,,2.0
e_0,0.45,,0.27,0.41,0.3,0.41,1.46,1.37,2.34,1.28,1.54,2.32,4.81,,34.2,2.7
g_0,0.41,0.42,0.97,0.44,0.5,0.49,2.29,,3.14,3.11,1.85,7.12,3.36,2.78,2.7,
