,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.94,0.43,0.29,0.27,0.21,0.19,0.19,0.14,0.14,0.16,0.15,0.05,0.16,0.13,0.09,0.14
e_1,0.29,0.94,0.28,0.26,0.2,0.19,0.24,0.18,0.29,0.2,0.19,0.16,0.16,0.12,0.08,0.14
d_1,0.31,0.3,0.94,0.22,0.24,0.18,0.23,0.14,0.11,0.3,0.17,0.18,0.17,0.11,0.14,0.14
c_1,0.26,0.32,0.33,0.93,0.45,0.2,0.17,0.15,0.15,0.08,0.17,0.16,0.15,0.12,0.11,0.18
b_1,0.33,0.31,0.29,0.23,0.93,0.34,0.2,0.16,0.23,0.22,0.1,0.2,0.19,0.11,0.15,0.13
a_1,0.41,0.35,0.34,0.28,0.23,0.93,0.25,0.26,0.18,0.23,0.2,0.12,0.19,0.09,0.14,0.14
h_1,0.79,0.41,0.53,0.56,0.43,0.31,0.72,0.39,0.37,0.34,0.33,0.31,0.2,0.2,0.26,0.36
g_1,0.58,0.48,0.77,0.62,0.43,0.26,0.36,0.73,0.38,0.37,0.37,0.45,0.26,0.25,0.23,0.2
d_0,0.74,0.5,0.32,1.05,0.43,0.36,0.38,0.29,0.61,0.24,0.3,0.28,0.35,0.24,0.27,0.26
c_0,0.7,0.62,0.55,0.46,0.43,0.33,0.45,0.29,0.49,0.58,0.58,0.32,0.43,0.23,0.33,0.36
b_0,0.72,0.54,0.61,0.57,0.37,0.3,0.44,0.38,0.42,0.32,0.62,0.4,0.41,0.42,0.26,0.34
f_0,0.57,0.55,0.69,0.64,0.49,0.57,0.43,0.37,0.47,0.38,0.31,0.61,0.34,0.33,0.47,0.33
h_0,0.93,0.58,0.62,0.62,0.47,0.39,0.3,0.4,0.38,0.37,0.38,0.34,0.27,0.33,0.24,0.46
a_0,0.67,0.66,0.7,0.68,0.61,0.24,0.53,0.45,0.49,0.53,0.37,0.41,0.36,0.6,0.31,0.33
e_0,0.74,0.38,0.71,0.81,0.5,0.49,0.45,0.4,0.39,0.42,0.46,0.36,0.55,0.32,0.57,0.42
g_0,0.65,0.63,1.01,0.55,0.53,0.48,0.37,0.22,0.39,0.43,0.37,0.42,0.33,0.33,0.25,0.22
