,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.07,0.97,0.88,0.99,0.94,1.12,1.35,0.86,1.16,1.2,0.98,1.03,1.0,0.87,1.2
f_1,0.94,1.0,1.32,1.01,0.89,0.88,0.91,0.88,0.98,1.04,0.91,0.76,0.84,0.92,1.01,0.79
e_1,1.03,0.75,1.0,1.14,1.1,1.02,0.98,0.98,1.03,1.34,1.06,1.2,1.07,1.03,1.09,0.98
c_1,1.14,0.99,0.88,1.0,1.54,0.87,0.78,0.78,0.91,0.71,0.71,0.86,0.97,0.89,0.95,1.03
b_1,1.02,1.13,0.91,0.65,1.0,1.58,1.19,1.04,1.07,0.86,1.11,1.07,1.04,1.0,1.09,1.02
a_1,1.06,1.14,0.98,1.16,0.63,1.0,1.15,1.03,1.14,1.0,1.13,1.16,1.22,0.98,1.23,0.85
h_1,0.88,1.11,1.01,1.25,0.83,0.89,1.0,0.93,1.2,0.95,0.91,1.04,0.99,0.9,1.11,0.93
c_0,0.76,1.12,1.04,1.15,0.87,1.0,1.06,1.0,1.17,1.18,1.48,0.98,1.09,1.25,1.08,1.01
g_1,1.17,1.04,0.93,1.05,0.94,0.83,0.82,0.88,1.0,0.85,0.91,1.12,0.9,0.97,0.97,0.91
d_0,0.93,0.99,0.74,1.4,1.16,0.92,1.05,0.85,1.16,1.0,1.09,0.92,1.03,0.99,0.98,0.9
b_0,0.85,1.08,0.93,1.36,0.97,0.9,1.12,0.69,1.1,0.94,1.0,1.17,1.07,1.49,1.03,1.07
f_0,1.02,1.23,0.8,1.16,0.95,0.9,0.98,1.01,0.93,1.02,0.9,1.0,1.03,1.21,0.81,1.51
h_0,0.98,1.19,0.93,1.04,0.97,0.85,1.0,0.92,1.11,0.96,0.96,0.98,1.0,0.94,1.18,0.91
a_0,1.0,1.1,0.98,1.23,0.99,0.99,1.12,0.82,1.05,1.13,0.67,0.93,1.08,1.0,1.03,1.03
g_0,1.19,0.98,0.91,1.08,0.91,0.82,0.91,0.96,1.01,0.95,0.9,1.25,0.85,0.96,1.0,1.11
e_0,0.91,1.27,0.98,0.93,0.97,1.12,1.1,1.06,1.07,1.15,0.92,0.67,1.04,0.94,0.84,1.0
