,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,0.93,0.81,0.92,0.89,0.62,0.46,0.57,0.41,0.59,0.35,0.36,0.34,0.41,,0.31
d_1,1.07,1.0,1.01,1.16,0.75,0.73,0.55,,0.59,0.34,0.43,0.34,0.46,0.21,0.38,0.28
f_1,1.23,0.99,1.0,1.08,0.77,0.77,0.48,0.38,0.4,0.4,0.44,,0.3,0.45,0.38,0.36
c_1,1.09,0.86,0.93,1.0,1.38,0.72,0.59,0.32,,0.4,0.4,0.49,0.36,0.3,0.41,0.3
b_1,1.13,1.34,1.3,0.73,1.0,,0.5,0.48,0.49,0.52,,0.37,0.47,0.29,0.28,0.36
a_1,1.61,1.37,1.3,1.38,,1.0,0.8,0.61,0.6,,0.61,0.58,0.44,0.37,,
h_1,2.17,1.81,2.09,1.68,1.99,1.25,1.0,1.13,1.16,1.21,0.71,0.69,,0.67,0.62,0.58
d_0,1.75,,2.61,3.14,2.07,1.65,0.89,1.0,0.96,0.91,1.14,0.69,0.79,0.69,0.57,0.78
c_0,2.46,1.68,2.48,,2.02,1.67,0.86,1.04,1.0,0.83,1.36,0.95,0.77,0.96,0.69,0.59
g_1,1.69,2.93,2.47,2.47,1.94,,0.83,1.09,1.21,1.0,1.05,1.43,0.58,,0.67,
b_0,2.88,2.31,2.29,2.48,,1.63,1.4,0.87,0.74,0.95,1.0,1.05,0.89,1.02,0.87,1.07
f_0,2.76,2.93,,2.04,2.71,1.74,1.45,1.46,1.06,0.7,0.95,1.0,0.88,0.68,1.18,0.73
h_0,2.96,2.18,3.34,2.76,2.12,2.26,,1.27,1.31,1.73,1.13,1.14,,1.16,0.71,0.62
g_0,2.47,4.84,2.24,3.28,3.49,2.7,1.49,1.45,1.04,,0.98,1.48,0.86,,0.92,0.92
e_0,,2.66,2.6,2.45,3.53,,1.6,1.77,1.46,1.48,1.15,0.85,1.41,1.09,1.0,
a_0,3.26,3.53,2.79,3.37,2.81,,1.73,1.29,1.7,,0.93,1.37,1.61,1.09,,1.0
