,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.4,0.47,0.69,0.79,0.69,0.6,0.42,0.43,0.31,0.36,0.32,0.33,0.32,0.26,0.39,0.29
f_1,0.68,0.4,0.62,0.8,0.56,0.67,0.29,0.39,0.28,0.31,0.3,0.33,0.31,0.2,0.27,0.27
d_1,0.8,0.74,0.39,0.6,0.66,0.59,0.36,0.26,0.34,0.43,0.29,0.29,0.3,0.24,0.27,0.19
c_1,0.55,0.63,0.84,0.39,0.87,0.57,0.33,0.33,0.33,0.2,0.27,0.32,0.25,0.27,0.31,0.26
b_1,0.69,0.83,0.67,0.41,0.38,0.83,0.38,0.37,0.39,0.3,0.48,0.31,0.31,0.26,0.3,0.26
a_1,0.77,0.66,0.71,0.71,0.41,0.31,0.38,0.42,0.32,0.34,0.38,0.31,0.42,0.31,0.27,0.28
h_1,0.56,0.69,0.59,0.63,0.62,0.59,0.24,0.33,0.26,0.28,0.29,0.27,0.28,0.28,0.26,0.27
g_1,0.55,0.63,0.69,0.68,0.65,0.61,0.29,0.22,0.27,0.28,0.29,0.33,0.29,0.2,0.31,0.27
c_0,0.69,0.7,0.42,0.89,0.59,0.7,0.36,0.37,0.23,0.39,0.31,0.3,0.34,0.25,0.27,0.23
d_0,0.42,0.59,0.75,0.79,0.69,0.62,0.39,0.44,0.27,0.23,0.32,0.34,0.26,0.24,0.3,0.28
b_0,0.63,0.64,0.55,0.97,0.64,0.5,0.32,0.34,0.18,0.31,0.21,0.27,0.36,0.28,0.26,0.25
f_0,0.63,0.86,0.61,0.64,0.67,0.66,0.36,0.23,0.27,0.25,0.27,0.21,0.25,0.27,0.31,0.16
a_0,0.56,0.56,0.6,0.83,0.66,0.71,0.34,0.36,0.23,0.32,0.16,0.34,0.19,0.26,0.27,0.31
h_0,0.6,0.7,0.61,0.6,0.62,0.51,0.37,0.38,0.27,0.31,0.26,0.25,0.27,0.29,0.25,0.25
e_0,0.7,0.77,0.61,0.6,0.59,0.65,0.4,0.31,0.28,0.29,0.31,0.17,0.29,0.26,0.19,0.2
g_0,0.63,0.69,0.64,0.62,0.61,0.57,0.26,0.33,0.26,0.28,0.27,0.3,0.24,0.2,0.29,0.26
