,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.42,0.96,0.86,0.8,0.85,0.84,0.5,0.48,0.34,0.74,0.48,0.37,0.33,0.37,0.25,0.46
f_1,0.88,0.41,0.98,0.92,0.85,0.71,0.39,0.37,0.51,0.41,0.35,0.44,0.26,0.38,0.36,0.31
e_1,0.96,0.56,0.4,0.97,0.98,0.94,0.47,0.41,0.52,0.47,0.44,0.5,0.35,0.42,0.4,0.62
c_1,1.07,0.94,0.77,0.37,1.2,0.8,0.38,0.42,0.41,0.24,0.3,0.34,0.33,0.38,0.33,0.4
b_1,0.85,1.08,0.82,0.51,0.36,1.28,0.6,0.43,0.54,0.36,0.7,0.42,0.36,0.41,0.37,0.4
a_1,0.96,0.98,0.86,1.04,0.48,0.3,0.57,0.45,0.52,0.42,0.44,0.49,0.44,0.62,0.42,0.36
h_1,0.66,0.79,0.84,1.02,0.71,0.75,0.25,0.34,0.49,0.37,0.33,0.38,0.38,0.29,0.31,0.29
c_0,0.49,0.87,0.86,1.28,0.72,0.79,0.44,0.26,0.49,0.46,0.48,0.36,0.33,0.42,0.32,0.34
g_1,0.79,0.94,0.82,0.89,0.78,0.7,0.29,0.31,0.23,0.35,0.32,0.34,0.26,0.37,0.32,0.28
d_0,0.91,0.74,0.5,0.93,0.96,0.78,0.47,0.35,0.55,0.26,0.41,0.34,0.29,0.4,0.31,0.32
b_0,0.63,0.8,0.72,1.22,0.98,0.7,0.48,0.22,0.48,0.35,0.24,0.42,0.34,0.43,0.29,0.37
f_0,0.74,1.28,0.66,0.94,0.74,0.69,0.39,0.35,0.33,0.38,0.32,0.23,0.32,0.41,0.21,0.42
h_0,0.72,0.83,0.71,0.81,0.79,0.64,0.52,0.35,0.43,0.35,0.33,0.34,0.38,0.31,0.33,0.31
a_0,0.69,0.96,0.75,0.97,0.89,0.95,0.42,0.28,0.45,0.46,0.2,0.32,0.3,0.21,0.29,0.34
g_0,0.78,0.82,0.81,0.87,0.74,0.66,0.35,0.33,0.45,0.38,0.33,0.39,0.24,0.3,0.36,0.38
e_0,0.63,1.0,1.23,0.7,0.73,0.95,0.45,0.36,0.41,0.46,0.32,0.2,0.3,0.33,0.24,0.21
