,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.18,0.91,1.68,1.74,1.95,1.65,0.56,0.56,0.35,0.32,0.38,0.37,0.27,0.3,0.35,1.21
f_1,1.47,0.17,1.61,1.78,1.56,1.65,0.36,0.45,0.33,0.4,0.32,1.19,0.15,0.27,0.37,0.32
d_1,1.78,2.0,0.16,1.48,1.65,2.08,0.44,0.3,1.63,0.3,0.34,0.3,0.26,0.12,0.31,0.36
c_1,1.47,1.83,2.13,0.15,1.53,1.55,0.51,0.42,0.21,1.23,0.27,0.32,0.25,0.27,0.27,0.28
b_1,1.62,2.01,1.58,0.98,0.14,1.47,0.44,0.66,0.29,0.54,1.37,0.35,0.24,0.24,0.41,0.36
a_1,1.93,1.73,2.23,1.72,0.94,0.09,0.53,0.58,0.36,0.33,0.37,0.32,0.23,0.24,0.8,0.25
h_1,0.82,0.94,0.98,0.91,1.37,0.84,0.07,0.26,0.23,0.17,0.15,0.21,0.34,0.15,0.19,0.18
g_1,0.97,0.94,0.94,0.96,1.2,0.85,0.25,0.05,0.2,0.15,0.18,0.16,0.12,0.42,0.21,0.18
d_0,0.49,0.86,2.06,1.09,0.97,0.96,0.3,0.33,0.08,0.19,0.17,0.23,0.14,0.17,0.19,0.22
c_0,1.19,0.82,0.44,2.42,0.83,1.29,0.31,0.29,0.25,0.07,0.29,0.18,0.16,0.2,0.13,0.17
b_0,0.87,0.82,0.79,1.57,2.04,0.85,0.22,0.33,0.21,0.09,0.06,0.17,0.16,0.12,0.15,0.2
f_0,0.98,2.75,0.89,1.04,0.73,0.77,0.2,0.16,0.16,0.14,0.24,0.06,0.16,0.09,0.21,0.15
h_0,0.99,1.09,0.86,0.84,0.78,0.92,0.72,0.29,0.18,0.25,0.18,0.16,0.39,0.15,0.14,0.19
g_0,1.05,1.14,0.83,0.91,0.86,0.91,0.19,0.59,0.2,0.14,0.15,0.13,0.11,0.28,0.16,0.17
a_0,1.0,1.33,0.79,0.82,1.02,2.01,0.22,0.23,0.2,0.16,0.09,0.14,0.12,0.16,0.04,0.18
e_0,1.64,0.97,0.84,0.91,0.91,0.99,0.21,0.21,0.19,0.22,0.15,0.08,0.13,0.14,0.22,0.04
