,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,6.18,3.89,4.85,6.14,7.79,2.49,2.72,2.4,1.76,2.03,2.23,1.86,1.82,,1.75
d_1,6.28,0.66,6.33,6.66,5.73,4.84,3.33,1.61,,2.28,2.45,1.99,1.22,2.94,1.56,1.3
f_1,7.79,5.97,0.66,4.7,5.97,9.49,1.84,2.94,1.92,2.09,1.98,,1.18,2.55,1.87,1.82
c_1,6.9,6.07,5.87,0.65,7.06,5.59,2.87,2.12,1.51,,1.95,2.39,1.75,1.82,2.55,1.46
b_1,5.38,5.67,6.03,3.85,0.64,6.89,3.06,3.33,2.32,2.51,,2.19,1.81,,2.58,2.11
a_1,6.54,8.26,5.64,7.73,4.27,0.58,2.11,4.57,2.98,3.33,2.44,2.74,2.82,,,2.1
h_1,5.36,3.99,5.91,4.94,4.44,6.1,0.61,2.32,2.04,2.12,1.97,1.55,,1.42,1.44,1.48
g_1,5.45,5.73,5.72,6.2,4.42,4.3,2.02,0.6,1.67,1.98,1.53,2.36,1.32,1.77,2.18,
d_0,3.01,,4.89,5.53,4.32,4.44,1.97,2.38,0.7,2.07,1.7,1.62,1.57,1.96,1.29,1.59
c_0,5.44,3.33,4.59,,4.13,3.53,1.87,2.19,1.93,0.72,2.12,2.04,1.77,1.6,1.48,0.93
b_0,5.88,4.19,5.79,6.29,,5.13,2.33,2.83,2.01,1.04,0.68,1.74,1.31,2.03,1.48,1.18
f_0,4.7,4.97,,7.17,5.54,3.8,2.78,1.5,2.16,1.85,2.19,0.67,1.43,1.64,2.43,1.03
h_0,4.68,6.52,5.32,4.1,4.57,3.58,,2.17,1.49,1.4,1.94,1.73,,1.22,1.47,1.47
a_0,9.15,5.82,4.44,4.82,,,2.84,2.64,2.18,2.32,1.29,1.94,2.21,0.64,1.74,1.77
e_0,,6.69,8.1,6.59,6.0,,3.07,2.59,2.5,1.96,1.99,1.13,1.76,2.17,0.61,
g_0,4.69,5.88,5.25,5.68,5.71,4.0,1.94,,1.72,2.79,2.28,1.87,1.07,1.7,,
