,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.05,1.18,0.84,0.94,0.79,0.62,0.58,0.62,0.72,0.67,0.59,0.51,0.47,0.49,0.57
c_1,0.96,1.0,0.9,1.36,1.34,0.88,0.58,0.51,0.44,0.66,0.47,0.49,0.54,0.59,0.52,0.62
e_1,0.85,1.11,1.0,1.0,0.82,0.88,0.78,0.94,0.68,0.68,0.68,0.62,0.5,0.64,0.56,0.62
b_1,1.19,0.73,1.0,1.0,1.0,1.23,0.84,0.67,0.71,0.77,0.55,0.62,0.59,0.55,0.6,0.54
d_1,1.07,0.75,1.22,1.0,1.0,0.8,0.66,0.87,0.98,0.52,0.71,0.76,0.73,0.68,0.61,0.46
a_1,1.26,1.13,1.14,0.82,1.25,1.0,0.9,0.72,0.67,0.75,0.81,0.74,0.83,0.66,0.69,0.7
h_1,1.65,1.69,1.26,1.22,1.52,1.09,1.0,0.95,0.89,1.27,0.95,0.82,0.82,1.11,0.64,0.87
d_0,1.62,2.06,1.04,1.4,1.25,1.39,1.03,1.0,0.88,0.93,0.7,0.83,0.82,0.81,0.92,0.77
c_0,1.65,2.32,1.48,1.39,1.01,1.53,1.15,1.15,1.0,1.0,1.29,0.95,1.05,1.03,0.85,0.87
g_1,1.48,1.59,1.45,1.28,1.89,1.26,0.8,1.03,1.0,1.0,0.92,1.04,0.92,0.89,0.78,0.9
b_0,1.52,2.23,1.49,1.71,1.43,1.26,1.05,1.38,0.77,1.13,1.0,0.94,1.38,0.96,0.92,1.13
f_0,1.72,2.19,1.62,1.51,1.31,1.29,1.22,1.12,1.02,0.91,1.08,1.0,0.86,0.95,1.21,0.71
a_0,2.0,1.76,1.76,1.75,1.49,1.07,1.28,1.24,0.93,1.1,0.71,1.17,1.0,1.17,1.07,0.88
h_0,2.04,1.76,1.48,1.79,1.47,1.57,0.85,1.2,0.98,1.13,1.04,1.06,0.87,1.0,0.95,0.95
e_0,2.01,1.92,1.93,1.63,1.8,1.57,1.64,1.04,1.09,1.22,0.96,0.86,0.8,1.05,1.0,1.04
g_0,1.76,1.7,1.61,1.77,2.12,1.5,1.15,1.22,1.11,1.05,0.89,1.48,1.06,1.05,0.96,1.0
