,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.49,1.12,0.58,0.67,0.57,0.48,0.72,0.75,0.66,0.71,0.44,0.71,0.69,0.57,0.47,0.74
e_1,0.64,1.5,0.85,0.59,0.58,0.59,0.73,1.32,0.78,0.81,0.92,0.81,1.05,0.54,0.75,0.7
c_1,0.82,0.57,1.55,0.73,1.09,0.52,0.73,0.6,0.64,0.34,0.71,0.6,0.88,0.51,0.63,0.9
d_1,0.72,0.73,0.58,1.57,0.61,0.52,0.84,0.56,0.72,1.38,0.95,0.89,0.85,0.79,0.66,0.73
b_1,0.83,0.68,0.57,0.69,1.62,1.04,0.75,0.88,0.74,0.68,0.75,0.49,0.93,0.64,0.72,0.84
a_1,0.85,0.7,0.89,0.82,0.5,1.73,0.77,1.02,0.68,0.81,0.8,0.8,1.02,0.79,0.52,0.84
h_1,1.25,0.88,1.01,0.82,0.77,0.67,1.75,0.96,1.23,1.08,0.8,1.04,0.72,0.7,0.78,1.23
d_0,1.08,0.78,1.5,0.68,0.85,0.75,1.21,1.59,0.91,1.0,1.21,1.02,1.16,0.78,0.79,1.33
g_1,1.02,0.87,0.87,1.25,0.8,0.74,0.97,0.97,1.82,0.93,1.46,1.03,0.94,0.98,0.93,0.74
c_0,1.0,1.11,0.85,0.84,0.82,0.68,1.16,1.17,1.25,1.61,1.09,1.82,1.17,1.01,1.07,1.08
f_0,0.81,0.78,1.09,1.02,0.96,0.84,1.22,1.16,0.84,1.22,1.67,1.1,1.18,1.76,0.91,1.11
b_0,1.08,1.05,1.2,0.85,0.62,0.76,1.21,1.1,1.18,0.95,1.08,1.72,1.19,0.91,1.58,1.23
h_0,1.37,0.89,1.02,0.95,0.87,0.84,1.12,1.17,1.32,1.07,0.97,1.17,1.03,0.91,0.97,1.33
e_0,1.0,0.79,1.27,0.88,1.07,0.82,1.5,1.48,1.12,1.22,0.97,1.28,1.52,1.77,1.33,1.3
a_0,1.37,0.82,1.22,1.05,0.93,0.56,1.27,1.3,0.96,1.07,1.17,1.05,1.31,0.95,1.8,1.4
g_0,0.81,1.04,1.02,1.42,1.01,0.82,1.21,0.81,0.92,1.19,1.49,1.12,1.15,1.06,0.88,0.95
