,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.51,0.52,0.48,0.38,0.4,0.44,0.56,0.19,0.41,0.89,0.57,0.51,0.55,0.54,0.45,0.5
e_1,0.42,1.52,0.39,0.53,0.42,0.4,0.54,0.92,0.53,0.53,0.56,0.59,0.62,0.49,0.34,0.54
f_1,0.49,0.75,1.52,0.47,0.35,0.43,0.49,0.54,0.59,0.53,0.21,0.51,0.44,0.43,0.33,0.44
c_1,0.52,0.49,0.49,1.54,0.68,0.34,0.46,0.46,0.45,0.24,0.52,0.42,0.72,0.41,0.36,0.71
b_1,0.53,0.45,0.49,0.44,1.61,0.64,0.63,0.5,0.46,0.59,0.5,0.2,0.57,0.39,0.51,0.65
a_1,0.5,0.51,0.37,0.49,0.45,1.72,0.65,0.71,0.56,0.66,0.67,0.61,0.72,0.27,0.63,0.58
h_1,0.74,0.6,1.1,0.81,0.59,0.44,1.69,0.86,1.07,0.82,0.76,0.78,0.62,0.67,0.74,0.96
d_0,0.56,0.64,0.75,1.31,0.8,0.6,0.84,1.47,0.59,0.7,0.85,0.76,0.91,0.62,0.7,0.93
g_1,1.11,0.65,0.66,0.71,0.77,0.53,0.61,1.04,1.78,0.85,1.16,0.95,0.92,0.89,0.97,0.38
c_0,0.67,0.75,1.0,0.37,0.61,0.51,1.08,1.1,0.78,1.56,1.01,1.75,1.17,0.86,0.92,1.3
f_0,0.81,0.66,0.62,0.93,0.82,0.59,0.91,1.04,0.92,0.81,1.54,1.0,1.18,0.78,1.37,0.82
b_0,0.9,0.72,0.93,0.97,0.41,0.52,0.88,1.1,0.79,0.74,1.01,1.58,1.19,1.47,0.91,0.86
h_0,1.02,0.71,1.31,0.68,0.72,0.45,0.41,0.95,0.91,0.69,0.8,0.88,0.66,0.79,0.76,1.05
a_0,0.86,0.84,1.02,0.91,0.66,,1.08,1.16,0.52,0.98,1.2,0.75,1.11,1.67,1.09,0.97
e_0,1.0,0.3,1.1,0.93,0.74,0.58,1.03,1.21,0.73,0.89,0.87,0.96,1.14,0.79,1.67,1.09
g_0,1.15,0.68,0.97,0.69,0.68,0.61,0.86,0.84,0.78,0.87,1.49,1.11,1.09,0.95,0.78,0.73
