,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,11444.49,5015.96,3177.19,4120.61,4973.13,25371.93,3004761.84,6377941.55,8592701.34,12862367.23,20752935.14,8444455.44,101816008.33,70762112.24,84125423.36,160499804.19
e_1,2800.15,12957.99,2899.81,4786.06,4841.4,24327.07,3515625.46,9350981.21,9509186.91,31720269.36,24441352.05,22422508.07,111873538.44,88018390.27,57855789.78,199438020.16
d_1,2606.52,2523.25,18294.6,2848.79,5405.49,30902.35,3835559.93,17527209.69,9226203.48,9133719.65,27853831.84,30959985.32,99398037.8,96621566.1,159257133.5,221385405.41
c_1,2612.27,2243.4,3821.8,21229.38,9582.45,18610.11,2575525.95,2677004.95,8019205.2,14144024.41,17311709.48,25749881.94,85781730.02,90712662.13,115406660.36,199227501.91
b_1,2302.13,2366.77,4104.66,4171.52,28437.1,58814.85,3503539.39,7086932.27,8864790.43,13292711.37,10581523.12,22759575.72,102173530.28,58323032.33,141749723.15,230650024.04
a_1,2466.09,2271.46,4504.43,5077.3,4255.51,235706.2,3966163.54,10911324.95,9489685.71,16349233.43,24776773.57,19445199.85,113535971.27,47102400.08,104333214.2,224233609.69
h_1,3932.1,2889.18,5379.64,4196.93,6701.11,34600.95,11234716.14,8689119.56,12334975.59,17332007.43,27824268.92,23389694.33,77419930.86,89575638.72,131370686.93,341277809.45
c_0,3583.99,3652.67,4932.32,3431.53,4577.21,35482.97,4226134.77,23020579.83,8206056.73,17219503.28,57643679.45,29349698.21,121724635.83,122411384.93,198485119.58,210278004.33
g_1,2671.69,2954.28,7854.52,4775.94,5437.73,31236.07,3277275.3,11427368.68,38785050.62,15719956.16,20924136.98,42369793.39,131970597.87,112803060.96,152887665.79,161808850.83
d_0,3578.95,3223.97,1887.58,10346.67,5147.79,35813.2,3356498.67,8894582.79,10010092.08,39032049.55,27402627.88,26588244.44,110329274.09,110226557.83,122703587.3,225842030.31
b_0,3616.65,3668.5,4894.96,5675.89,3561.35,19983.54,2496603.59,10883126.68,12821963.64,21156441.0,65580943.91,25222396.9,147579680.66,255023718.6,198007991.89,282631726.25
f_0,2013.96,2940.18,4800.25,6348.81,7558.76,34731.48,4212451.14,9904483.73,10809614.72,22156563.66,28531164.92,65011249.14,127448938.6,120447565.92,356752712.31,229764177.17
h_0,4540.41,3074.4,4501.14,5219.24,5950.84,36130.97,2203237.7,10133344.15,15275663.15,21917464.06,32414850.1,22764491.64,80263066.52,105247198.64,142108535.39,370389893.91
a_0,3880.29,3614.45,4856.27,5570.48,6282.28,12260.35,4550771.09,9924402.84,8779961.33,20310183.36,26746849.68,27236705.7,111912056.93,320748818.74,166692712.4,280427914.31
e_0,3470.43,1942.46,4583.57,6045.62,7340.66,26904.67,4216486.06,10606437.02,12386016.87,19746011.6,31073545.96,19337170.96,128054927.04,98909199.1,523090992.23,329360171.66
g_0,2738.84,3139.75,7882.96,5635.55,6019.46,30151.78,4304488.94,10679584.86,4677806.04,16341526.84,23215867.67,47282110.81,103435959.02,102319861.13,155148763.07,174841833.41
