,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,5.84,0.63,0.57,0.5,0.64,0.56,2.14,2.18,5.69,0.72,3.51,3.25,4.56,4.98,2.53,2.4
e_1,0.4,5.85,0.58,0.73,0.61,0.72,2.08,2.05,3.02,5.35,3.19,3.22,4.33,4.23,2.73,0.68
f_1,0.61,1.15,6.08,0.64,0.42,0.53,2.54,1.52,2.39,3.01,2.67,0.88,4.25,3.24,2.51,2.51
c_1,0.49,0.57,0.66,6.56,1.03,0.56,2.56,2.2,0.7,2.94,1.44,2.2,4.96,4.65,3.26,3.9
b_1,0.64,0.61,0.7,0.57,7.45,1.12,1.85,1.99,2.19,2.75,0.87,2.84,4.32,4.33,1.79,2.98
a_1,0.71,0.66,0.57,0.66,0.6,10.84,1.64,1.83,2.73,2.57,3.12,3.54,4.52,3.49,,2.54
h_1,1.15,0.65,1.4,0.86,1.3,0.75,15.33,6.13,6.01,4.68,4.6,5.74,2.38,10.28,5.34,5.65
g_1,1.85,0.66,0.92,0.86,1.19,0.94,3.34,18.75,3.52,3.57,5.34,6.67,5.01,2.07,5.36,5.47
c_0,1.28,1.05,1.24,0.38,0.77,0.92,4.61,4.58,13.69,5.27,11.38,5.26,8.78,9.18,7.95,5.97
d_0,0.48,0.84,1.4,2.07,0.78,0.86,4.73,3.84,4.28,13.27,4.63,6.07,6.92,7.3,5.93,5.64
b_0,1.27,0.84,1.22,1.44,0.38,0.72,4.11,4.26,5.66,6.55,15.96,5.03,8.03,7.64,12.23,5.07
f_0,1.42,1.08,0.52,1.12,1.16,0.92,3.88,3.55,5.41,4.83,6.24,17.66,8.2,8.38,6.7,9.77
h_0,1.17,0.91,1.44,1.13,0.97,0.8,1.52,6.31,4.68,4.5,5.08,4.92,2.99,9.84,3.82,6.67
g_0,1.55,0.93,1.06,0.79,0.85,1.21,3.77,2.07,5.19,4.26,4.83,8.78,6.21,3.31,4.64,5.99
a_0,1.24,0.92,1.11,1.28,1.17,,4.05,4.07,4.43,4.8,4.98,6.03,9.47,6.69,24.91,6.04
e_0,1.51,0.27,1.01,1.04,1.32,1.02,4.38,4.33,5.76,5.21,5.77,5.86,8.58,6.96,6.43,25.76
