,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,1.41,1.22,1.23,1.41,1.27,0.48,0.55,0.5,0.73,0.52,1.18,0.42,0.55,0.49,0.59
e_1,0.83,0.41,1.48,1.35,1.52,1.46,0.75,0.69,0.54,0.76,0.49,0.63,0.42,0.77,1.51,0.49
d_1,1.18,1.35,0.39,1.48,1.25,1.27,0.59,1.18,0.67,0.5,0.61,0.53,0.43,0.54,0.56,0.33
c_1,1.19,1.15,1.27,0.39,1.66,1.51,0.8,0.35,1.11,0.61,0.54,0.52,0.51,0.52,0.59,0.53
b_1,1.36,1.31,1.32,0.77,0.38,1.37,0.75,0.65,0.78,0.87,1.51,0.52,0.55,0.59,0.58,0.51
a_1,1.5,1.33,1.23,1.49,0.72,0.32,1.1,0.81,0.54,0.84,0.67,0.73,0.56,1.18,0.73,0.64
h_1,1.54,0.88,1.07,0.92,0.86,0.67,0.25,0.37,0.42,0.61,0.5,0.4,0.54,0.4,0.35,0.35
d_0,1.06,0.6,1.69,1.21,0.88,0.9,0.54,0.28,0.42,0.5,0.41,0.55,0.46,0.42,0.45,0.41
c_0,1.07,1.18,0.56,1.74,0.97,0.87,0.55,0.65,0.27,0.67,0.54,0.42,0.34,0.47,0.39,0.37
g_1,1.28,0.91,0.97,1.07,0.77,0.87,0.42,0.43,0.43,0.22,0.47,0.58,0.37,0.39,0.43,0.66
b_0,1.07,0.97,0.82,1.15,1.33,0.84,0.44,0.45,0.26,0.52,0.24,0.35,0.32,0.42,0.42,0.35
f_0,1.8,0.89,0.9,1.08,1.04,0.8,0.5,0.41,0.46,0.31,0.43,0.23,0.37,0.3,0.58,0.22
h_0,1.03,1.02,0.91,1.03,0.87,0.83,0.79,0.37,0.44,0.52,0.53,0.39,0.59,0.36,0.39,0.41
a_0,0.92,0.81,1.11,1.09,1.13,1.49,0.51,0.46,0.42,0.46,0.28,0.49,0.51,0.2,0.36,0.37
e_0,1.49,1.57,0.79,0.87,0.94,0.78,0.49,0.44,0.38,0.49,0.4,0.22,0.43,0.62,0.19,0.41
g_0,1.11,0.93,1.09,1.04,1.02,0.71,0.38,0.46,0.39,0.65,0.43,0.45,0.32,0.35,0.39,0.45
