,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,12.7,0.47,0.61,0.94,0.64,0.68,1.02,0.78,2.59,0.93,1.11,0.99,0.93,0.98,0.75,0.88
d_1,0.61,14.81,0.73,0.49,0.59,0.7,1.04,0.93,0.47,2.21,1.24,1.08,0.81,1.18,1.04,1.07
f_1,1.6,0.54,12.32,0.64,0.57,0.57,0.67,0.76,0.86,0.9,0.96,0.64,1.12,0.94,0.76,1.07
c_1,0.58,0.7,0.7,13.91,1.67,0.46,0.75,0.84,0.8,0.42,0.52,0.65,1.02,0.95,0.87,0.87
b_1,0.58,0.65,0.63,0.62,14.08,1.67,1.14,0.91,0.87,0.78,0.41,0.8,0.86,0.6,0.79,0.9
a_1,0.59,0.86,0.67,0.67,0.62,21.17,0.94,1.16,0.84,1.0,1.15,1.17,1.06,0.59,0.99,1.01
h_1,0.63,0.78,1.29,0.76,0.57,0.75,3.81,1.66,0.94,1.04,1.21,1.06,0.85,1.02,1.0,1.55
g_1,0.57,1.73,0.66,0.69,0.63,0.61,0.94,4.19,0.74,1.19,1.07,2.03,1.09,1.0,1.2,0.7
d_0,0.62,0.53,0.78,2.46,0.72,0.57,1.08,1.09,2.19,0.69,1.08,1.06,1.17,0.97,1.17,1.01
c_0,0.67,0.94,0.82,0.5,0.53,0.8,1.18,1.13,0.91,2.31,3.8,1.58,1.27,1.38,1.37,1.12
b_0,0.55,0.92,0.8,0.82,0.53,0.7,1.04,1.31,0.98,0.97,2.79,1.53,1.16,2.99,1.35,1.11
f_0,0.52,0.97,0.65,0.94,0.61,0.69,1.32,1.33,1.16,1.0,1.08,3.0,1.45,1.13,3.75,1.11
h_0,0.62,1.01,1.47,0.79,0.67,0.53,0.66,1.4,1.06,0.9,1.2,1.0,0.77,1.18,1.22,1.59
a_0,0.74,0.79,0.83,0.82,0.77,0.44,1.34,1.4,0.93,1.01,1.32,1.59,1.32,3.13,1.34,1.14
e_0,0.45,1.17,1.01,0.83,0.61,0.52,1.24,1.01,1.09,1.17,1.31,1.16,1.66,1.26,3.64,1.34
g_0,0.58,1.52,0.73,0.77,0.64,0.75,1.01,0.84,0.94,1.02,1.18,2.09,1.32,1.3,1.56,0.85
