,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,2.33,0.49,1.09,0.58,0.44,0.37,1.0,0.73,1.15,0.91,0.46,0.97,1.31,1.22,0.91,0.54
d_1,0.67,2.36,0.56,0.44,0.51,0.33,0.97,1.04,0.64,2.21,1.27,1.48,1.65,1.41,1.04,0.98
e_1,0.61,0.47,2.36,0.63,0.54,0.49,1.02,0.95,2.07,1.13,1.19,1.23,1.63,1.33,0.95,0.55
c_1,0.6,0.57,0.5,2.42,1.03,0.3,1.03,0.81,1.07,0.41,1.0,0.85,1.44,1.32,0.84,0.94
b_1,0.62,0.56,0.53,0.6,2.53,0.85,1.15,0.88,1.08,1.1,1.14,0.53,1.3,1.39,0.68,1.02
a_1,0.62,0.69,0.5,0.64,0.44,3.11,0.98,1.05,1.24,1.18,1.37,1.24,1.5,1.25,0.32,0.92
h_1,0.94,0.72,0.61,0.87,0.61,0.45,3.06,1.34,1.43,1.27,1.21,1.36,0.89,2.33,1.03,1.39
g_1,0.58,1.17,0.63,0.71,0.52,0.51,1.15,3.31,1.1,1.49,2.07,1.44,1.7,0.97,0.83,1.26
d_0,0.69,0.48,0.68,1.31,0.69,0.5,1.44,1.22,2.63,0.98,1.04,1.34,1.56,1.61,1.25,1.12
c_0,0.7,0.81,0.64,0.46,0.55,0.63,1.4,1.46,1.66,2.81,1.67,2.76,2.02,1.87,1.52,1.45
f_0,0.42,0.91,0.56,0.7,0.74,0.59,1.46,1.55,1.4,1.6,2.91,1.6,1.89,1.72,1.3,2.51
b_0,0.78,0.85,0.57,0.85,0.36,0.44,1.39,1.03,1.52,1.34,1.49,2.81,2.11,1.9,2.66,1.44
h_0,1.0,0.82,0.66,0.67,0.68,0.49,0.75,1.5,1.25,1.36,1.56,1.47,1.06,2.1,1.18,1.0
g_0,0.6,1.11,0.66,0.71,0.56,0.52,1.39,0.84,1.26,1.56,2.19,1.51,1.39,0.99,1.36,1.25
a_0,0.71,0.83,0.69,0.66,0.68,0.34,1.55,1.12,1.63,1.24,1.65,1.34,2.13,1.98,3.32,0.91
e_0,0.66,0.88,0.34,0.79,0.74,0.55,1.65,1.43,1.43,1.34,1.53,1.69,2.11,2.09,1.42,3.32
