,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.07,5.78,7.67,6.43,7.1,10.6,3.33,3.6,3.38,2.41,2.64,2.56,2.69,2.25,1.92,
f_1,11.14,1.07,8.3,8.46,9.62,9.01,3.14,2.69,2.7,2.97,1.96,,2.54,1.4,2.11,1.39
d_1,14.95,9.8,1.07,8.05,8.42,10.22,3.32,,2.17,3.87,2.57,2.59,3.08,2.08,1.35,2.39
c_1,14.3,10.22,11.88,1.07,11.13,7.99,4.05,1.77,3.93,,3.02,2.59,2.6,2.35,1.85,2.42
b_1,17.32,11.6,13.65,7.49,1.07,12.79,4.6,2.75,4.92,2.88,,3.62,,4.9,2.1,3.5
a_1,13.42,17.04,13.19,17.66,10.18,1.07,5.58,4.95,5.43,3.84,4.71,3.41,,2.83,4.9,
h_1,14.53,11.93,12.08,13.65,9.99,10.68,1.41,3.72,5.27,4.82,3.63,3.8,3.2,,2.53,4.05
d_0,8.76,16.07,,15.72,17.55,10.81,6.7,1.72,6.37,3.56,4.46,4.2,2.84,2.77,3.6,2.95
g_1,18.62,19.44,19.29,14.09,13.56,13.18,4.93,4.46,1.41,5.34,5.69,8.15,,2.55,,5.41
c_0,14.04,13.59,9.34,,20.94,16.09,4.81,5.07,5.43,1.76,4.83,5.12,4.18,3.82,4.58,3.4
b_0,13.62,22.18,17.79,17.85,,17.44,6.3,5.13,5.17,3.74,1.71,5.46,5.73,3.52,2.66,5.09
f_0,17.79,,16.24,18.28,14.59,17.53,6.21,5.65,3.34,3.95,5.21,1.72,5.55,4.37,2.48,5.21
a_0,19.12,22.73,19.09,21.19,,,7.05,7.73,,7.64,3.74,4.13,1.71,4.61,6.42,
h_0,15.01,18.63,19.09,17.53,11.57,10.75,,5.09,8.6,4.04,5.19,4.47,4.2,,4.27,4.78
g_0,19.18,18.83,23.8,30.1,22.29,9.79,7.44,5.65,,4.02,6.03,5.39,3.66,3.1,,3.21
e_0,,41.67,21.41,25.2,15.19,,6.68,7.37,6.69,8.18,6.76,4.02,,4.57,6.7,1.8
