,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.07,10.91,7.03,8.39,8.14,7.79,3.13,3.18,2.72,4.77,2.71,2.32,1.75,2.33,,2.7
d_1,12.54,1.07,9.51,11.6,7.57,9.42,4.12,,3.12,2.25,2.79,2.14,2.75,1.08,2.83,1.98
f_1,10.69,9.37,1.07,10.49,7.92,7.6,3.42,2.45,2.45,3.13,2.94,,1.51,3.28,3.04,2.5
c_1,9.91,8.62,9.0,1.07,12.51,8.2,3.76,1.65,,3.25,3.03,3.46,2.36,1.95,2.86,2.28
b_1,10.36,13.59,13.29,6.61,1.07,,3.8,3.39,3.39,3.68,,2.49,2.96,1.93,2.32,3.14
a_1,20.1,17.77,12.8,15.64,,1.07,6.08,4.09,4.1,,5.28,4.54,3.16,2.66,,
h_1,14.78,13.56,14.91,10.64,15.05,9.5,1.41,5.48,6.1,6.13,3.06,3.46,,2.8,3.44,3.18
d_0,9.74,,16.67,16.26,14.48,11.11,4.29,1.72,4.35,4.89,5.43,3.11,3.06,2.84,3.37,3.59
c_0,16.45,8.86,15.13,,13.84,11.4,4.52,4.74,1.77,4.48,4.86,3.99,2.94,4.41,3.21,3.12
g_1,13.64,19.35,19.15,19.91,13.78,,4.2,5.86,6.54,1.41,5.72,6.93,2.52,,3.78,
b_0,22.53,14.87,15.37,18.64,,14.11,6.04,4.15,2.64,5.21,1.69,4.95,4.06,4.8,4.29,4.72
f_0,17.71,18.34,,14.44,18.32,13.72,7.23,6.61,4.44,3.38,4.49,1.82,3.66,2.69,5.73,4.15
h_0,15.41,13.08,16.87,17.88,13.31,16.08,,4.93,5.01,7.51,5.17,4.76,,4.38,3.21,2.63
g_0,14.22,25.32,16.53,21.01,23.48,19.39,6.22,5.98,4.75,,4.65,5.88,3.24,,4.07,4.84
e_0,,19.96,20.54,17.15,28.92,,8.86,10.53,6.84,8.32,5.71,4.1,6.33,4.82,1.74,
a_0,28.62,24.67,19.52,25.81,24.8,,9.47,5.97,9.04,,4.09,7.84,6.77,5.74,,1.85
