,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.24,1.01,0.92,0.9,0.78,0.62,0.64,0.62,0.64,0.61,0.67,0.52,0.57,0.46,0.55
e_1,0.81,1.0,1.17,0.93,1.04,0.66,0.74,0.87,0.85,0.65,0.64,0.72,0.53,0.56,0.49,0.6
c_1,0.99,0.85,1.0,1.15,1.21,1.01,0.74,0.7,0.5,0.47,0.64,0.58,0.58,0.55,0.63,0.57
d_1,1.09,1.08,0.87,1.0,1.03,0.77,0.68,0.56,0.64,0.84,0.77,0.61,0.7,0.58,0.6,0.4
b_1,1.11,0.96,0.82,0.97,1.0,1.33,0.75,0.72,0.77,0.85,0.55,0.67,0.64,0.56,0.57,0.67
a_1,1.29,1.5,0.99,1.3,0.75,1.0,0.98,0.81,0.72,0.68,0.77,0.67,0.74,,0.64,0.56
h_1,1.63,1.38,1.41,1.45,1.27,1.08,1.0,1.05,0.89,0.84,0.88,0.81,1.02,0.82,0.73,1.02
g_1,1.59,1.13,1.47,1.74,1.31,1.26,0.97,1.0,0.94,0.92,0.94,1.29,0.71,1.18,1.02,0.89
d_0,1.67,1.1,2.15,1.59,1.25,1.37,1.06,1.07,1.0,0.88,0.94,0.95,0.92,0.88,0.85,1.04
c_0,1.6,1.53,2.03,1.19,1.29,1.48,1.21,1.05,1.15,1.0,1.26,0.87,1.16,1.07,0.94,0.96
b_0,1.64,1.6,1.66,1.38,1.94,1.26,1.12,1.05,1.04,0.75,1.0,1.13,1.1,1.18,1.06,1.17
f_0,1.71,1.36,1.77,1.53,1.51,1.39,1.24,0.81,1.02,1.16,0.88,1.0,1.03,0.93,1.29,0.95
h_0,2.02,1.82,1.65,1.46,1.57,1.3,1.0,1.41,1.05,0.87,0.88,0.96,1.0,0.95,0.75,1.08
a_0,1.76,1.85,1.87,1.67,1.65,,1.26,0.84,1.01,0.98,0.81,1.02,0.99,1.0,0.78,0.89
e_0,2.2,1.81,1.58,1.7,1.71,1.51,1.38,1.03,1.2,1.04,0.95,0.83,1.51,1.3,1.0,1.03
g_0,1.82,1.61,1.83,2.35,1.5,1.71,0.97,1.08,1.0,0.95,0.86,1.08,0.91,1.07,0.97,1.0
