,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.67,1.11,0.51,0.59,0.54,0.52,0.84,0.79,0.82,0.96,0.98,0.4,0.96,0.87,0.66,0.8
e_1,0.72,2.84,0.58,0.7,0.51,0.52,0.86,1.03,0.96,1.71,1.04,0.95,0.98,1.04,0.42,0.83
d_1,0.66,0.57,2.94,0.62,0.51,0.63,0.85,0.88,1.61,0.38,1.06,0.95,0.95,0.94,1.02,1.05
c_1,0.63,0.49,0.53,3.19,1.26,0.53,0.89,0.8,0.32,0.75,0.78,0.92,0.95,0.94,0.94,1.05
b_1,0.6,0.56,0.69,0.55,3.5,1.14,0.98,0.86,0.92,0.79,0.46,1.15,0.91,0.76,1.11,0.83
a_1,0.56,0.53,0.78,0.71,0.63,5.2,0.94,0.77,0.85,0.84,0.73,0.86,0.91,0.41,1.04,1.31
h_1,0.96,0.73,0.78,0.75,0.66,0.68,2.87,1.29,0.92,1.01,1.21,1.19,0.83,1.19,1.11,1.52
g_1,0.56,0.67,1.13,0.75,0.61,0.77,1.04,3.68,1.28,1.1,1.15,1.76,1.25,1.18,1.5,0.56
c_0,0.95,0.75,0.81,0.35,0.62,0.75,1.06,1.05,2.44,1.24,2.25,1.21,1.23,1.44,1.3,1.25
d_0,0.78,0.69,0.43,1.4,0.64,0.73,1.08,1.17,0.79,2.41,1.12,1.3,1.14,1.14,1.25,1.01
b_0,0.81,0.71,0.86,0.85,0.4,0.44,1.34,1.19,1.13,1.39,2.82,1.27,1.47,2.27,1.37,1.37
f_0,0.55,0.65,0.98,0.77,0.73,0.75,1.19,1.09,1.07,1.02,1.35,2.88,1.4,1.18,2.37,1.26
h_0,1.01,0.67,0.93,0.82,0.71,0.65,0.52,1.46,1.14,1.15,0.92,1.22,0.61,1.02,1.18,1.42
a_0,0.78,0.79,0.89,0.91,0.64,0.22,1.25,1.29,1.25,1.12,1.0,1.22,1.53,3.24,1.37,1.27
e_0,0.99,0.35,0.89,0.8,0.81,0.51,1.34,0.99,1.2,1.04,1.14,1.23,1.53,1.1,3.91,1.25
g_0,0.67,0.64,1.22,0.72,0.84,0.73,1.03,0.55,1.14,1.02,1.11,1.92,1.12,1.33,1.21,0.6
