,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.04,1.12,1.52,1.68,1.43,1.22,0.58,0.6,0.52,0.44,0.46,0.49,0.4,0.35,0.41,0.37
f_1,1.68,1.04,1.4,1.5,1.37,1.18,0.46,0.61,0.49,0.46,0.46,0.46,0.37,0.27,0.36,0.3
d_1,1.73,1.77,1.04,1.56,1.46,1.26,0.56,0.44,0.55,0.54,0.53,0.44,0.43,0.36,0.39,0.25
c_1,1.42,1.71,1.94,1.05,1.86,1.43,0.64,0.61,0.35,0.51,0.44,0.46,0.44,0.36,0.43,0.35
b_1,1.88,2.04,1.89,1.22,1.05,1.9,0.74,0.68,0.52,0.63,0.64,0.57,0.46,0.44,0.45,0.41
a_1,2.68,2.78,2.52,2.4,1.46,1.06,1.14,0.98,0.79,0.85,0.87,0.64,0.79,0.63,0.67,0.59
h_1,4.32,4.89,4.31,4.23,4.03,3.25,1.24,1.62,1.35,1.31,1.32,1.21,1.11,1.15,1.02,0.97
g_1,4.8,5.22,5.0,4.6,4.31,3.65,1.51,1.24,1.55,1.52,1.51,1.41,1.3,1.13,1.12,1.03
d_0,3.72,4.95,6.07,5.85,5.48,4.52,2.02,1.93,1.37,1.43,1.58,1.44,1.45,1.25,1.42,1.24
c_0,5.58,5.69,3.6,6.98,5.56,4.24,2.08,1.82,2.1,1.32,1.91,1.38,1.63,1.27,1.32,1.0
b_0,5.61,5.65,4.47,6.57,6.45,4.21,2.15,2.01,1.88,1.1,1.32,1.5,1.6,1.28,1.41,1.19
f_0,6.45,8.5,6.15,6.5,5.69,5.28,2.28,1.78,2.21,1.93,1.79,1.35,1.75,1.68,1.76,1.06
a_0,6.68,7.69,6.52,6.77,7.27,5.84,2.48,2.31,2.09,1.7,1.42,1.7,1.45,1.71,1.87,1.48
h_0,7.18,7.99,6.83,7.3,6.15,5.18,2.96,2.38,2.12,1.96,2.09,1.71,1.72,1.8,1.76,1.49
e_0,9.42,9.99,7.66,7.48,7.1,5.93,2.84,2.63,2.54,2.2,2.27,1.28,1.92,1.55,1.48,1.44
g_0,9.8,9.83,8.92,9.28,7.68,6.56,2.8,3.56,2.67,2.46,2.75,2.44,2.13,1.78,2.21,1.96
