,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,24.48,0.31,0.4,0.27,0.3,0.23,0.85,0.75,1.6,0.14,1.03,0.91,0.87,0.94,0.89,0.98
e_1,0.23,24.77,0.34,0.39,0.34,0.42,0.65,0.67,0.74,1.68,0.84,0.8,0.95,1.01,0.19,0.81
f_1,0.31,0.63,25.53,0.39,0.35,0.29,0.55,0.59,0.71,0.65,0.84,0.2,0.94,0.63,0.62,0.52
c_1,0.36,0.35,0.31,30.18,0.66,0.33,0.81,0.63,0.12,0.77,0.53,0.84,0.81,0.42,0.44,0.99
b_1,0.35,0.29,0.35,0.29,34.78,0.75,0.81,0.68,0.71,0.69,0.22,0.75,0.56,0.5,1.02,0.88
a_1,0.32,0.36,0.37,0.32,0.23,47.46,0.66,0.85,0.65,0.96,0.75,1.06,1.14,0.26,0.98,0.88
h_1,0.61,0.46,0.87,0.61,0.66,0.67,9.29,1.71,1.41,1.6,1.42,1.52,0.37,1.16,1.98,2.1
g_1,1.23,0.52,0.31,0.8,0.63,0.61,0.99,11.88,1.25,0.89,1.4,2.14,1.61,1.88,1.64,0.64
c_0,0.77,0.72,0.69,0.29,0.57,0.65,1.2,1.43,4.94,1.62,3.49,1.57,2.05,2.01,1.68,1.79
d_0,0.14,0.58,0.75,1.6,0.7,0.55,1.37,1.43,1.13,5.54,1.28,1.65,1.64,1.35,1.73,1.44
b_0,0.87,0.76,0.78,0.5,0.14,0.54,1.38,1.23,1.81,1.42,6.63,1.34,1.8,4.14,1.51,2.15
f_0,0.82,0.46,0.19,0.72,0.69,0.89,1.84,1.81,1.68,1.39,1.46,6.22,1.98,1.55,3.93,1.47
h_0,0.83,0.57,0.99,0.7,0.79,0.31,0.36,1.62,1.4,1.32,1.05,1.07,0.45,1.77,1.05,1.94
a_0,0.74,0.57,0.73,0.72,0.57,0.23,1.74,1.28,2.15,1.58,1.56,1.71,1.89,7.73,1.66,1.6
e_0,0.88,0.17,0.7,0.83,0.6,0.7,1.82,1.22,1.62,1.73,1.53,1.44,1.98,1.66,9.56,1.79
g_0,1.38,0.48,0.57,0.59,0.52,0.64,1.32,0.59,1.44,1.23,1.11,2.56,1.43,1.45,1.29,0.6
