,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.89,0.35,0.18,0.17,0.13,0.08,0.15,0.17,0.11,0.11,0.13,0.06,0.14,0.12,0.14,0.1
e_1,0.2,0.88,0.15,0.25,0.14,0.08,0.19,0.32,0.13,0.18,0.15,0.15,0.15,0.11,0.14,0.05
d_1,0.22,0.18,0.89,0.11,0.14,0.12,0.17,0.07,0.12,0.32,0.17,0.15,0.19,0.1,0.14,0.1
c_1,0.2,0.17,0.17,0.88,0.27,0.1,0.16,0.14,0.14,0.05,0.1,0.15,0.19,0.11,0.12,0.1
b_1,0.18,0.16,0.19,0.2,0.88,0.19,0.17,0.14,0.13,0.14,0.05,0.13,0.15,0.08,0.14,0.1
a_1,0.2,0.19,0.22,0.18,0.13,0.87,0.22,0.17,0.14,0.17,0.18,0.13,0.17,0.06,0.12,0.09
h_1,0.33,0.2,0.22,0.24,0.18,0.11,0.58,0.21,0.21,0.21,0.16,0.14,0.11,0.11,0.24,0.11
d_0,0.26,0.25,0.1,0.41,0.16,0.1,0.23,0.42,0.12,0.18,0.16,0.2,0.2,0.13,0.2,0.11
g_1,0.27,0.2,0.36,0.2,0.16,0.12,0.2,0.15,0.55,0.19,0.18,0.26,0.18,0.1,0.09,0.11
c_0,0.25,0.26,0.27,0.13,0.11,0.12,0.25,0.21,0.14,0.45,0.39,0.18,0.2,0.18,0.2,0.12
b_0,0.26,0.26,0.26,0.21,0.08,0.08,0.28,0.23,0.17,0.23,0.4,0.19,0.2,0.29,0.19,0.13
f_0,0.14,0.21,0.26,0.23,0.2,0.11,0.26,0.24,0.17,0.24,0.23,0.38,0.23,0.14,0.16,0.22
h_0,0.33,0.23,0.24,0.23,0.21,0.12,0.13,0.17,0.25,0.18,0.18,0.16,0.13,0.12,0.23,0.09
a_0,0.28,0.24,0.24,0.22,0.17,0.08,0.23,0.25,0.18,0.2,0.19,0.21,0.24,0.37,0.17,0.11
g_0,0.21,0.19,0.34,0.26,0.18,0.15,0.2,0.19,0.1,0.19,0.2,0.27,0.2,0.13,0.1,0.11
e_0,0.28,0.13,0.26,0.22,0.19,0.12,0.32,0.19,0.17,0.23,0.22,0.16,0.25,0.12,0.14,0.4
