,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,6.24,2.18,1.97,2.09,4.19,2.13,7.92,7.8,9.46,4.65,10.94,6.49,17.25,10.6,9.37,15.04
f_1,2.22,6.28,2.29,3.68,1.92,1.79,8.03,7.3,10.52,10.02,5.61,11.17,13.6,6.45,12.0,13.41
d_1,1.83,2.54,6.48,2.04,2.13,1.96,8.82,8.47,6.44,20.04,12.13,16.45,16.83,12.79,12.21,17.09
e_1,2.75,2.19,1.87,6.6,2.27,2.09,7.33,8.16,18.95,9.05,11.19,10.39,15.83,7.22,11.35,17.11
b_1,2.25,2.19,2.17,2.05,7.11,4.64,8.11,6.91,9.34,8.98,10.06,6.54,16.37,10.11,9.05,14.4
a_1,2.61,2.59,1.94,1.94,2.04,10.89,8.24,9.25,10.69,10.89,12.41,10.77,16.56,14.05,8.99,15.84
h_1,2.42,3.29,2.64,2.23,2.01,2.54,17.36,11.16,9.64,11.74,12.17,12.61,12.86,11.4,12.86,22.41
g_1,2.27,2.19,3.93,1.9,2.15,2.01,10.18,20.12,9.88,11.84,19.5,11.27,15.69,14.86,11.47,14.85
d_0,4.33,2.43,1.61,2.36,2.63,2.46,8.08,8.29,18.07,6.83,11.81,10.36,15.81,10.87,13.12,17.24
c_0,2.16,2.76,2.85,2.22,1.72,2.13,10.22,10.32,11.36,20.12,12.85,25.62,20.91,14.32,15.77,20.68
f_0,2.64,1.83,3.02,2.07,2.64,2.66,10.28,9.59,10.13,12.34,21.06,14.13,18.58,26.25,12.99,19.32
b_0,2.4,3.06,2.75,2.38,1.6,1.73,9.77,9.05,12.15,11.73,9.87,21.16,20.99,13.18,26.83,19.63
h_0,2.46,3.18,2.56,2.38,2.29,2.26,7.4,12.47,11.22,11.3,12.43,12.13,13.59,12.8,15.31,23.82
e_0,2.63,3.08,2.76,1.58,2.54,2.8,10.58,9.94,9.82,10.17,13.48,10.88,21.87,27.71,12.94,19.4
a_0,2.4,2.61,3.05,2.33,2.39,1.64,10.03,9.57,10.77,10.66,9.11,12.17,17.3,11.73,27.11,18.23
g_0,2.54,2.05,3.81,1.91,2.45,1.84,8.69,6.32,10.28,13.22,17.52,13.7,18.88,13.91,14.1,15.35
